Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Chargers to receive the opening kickoff.",,,6.0,2022,94
1,15:00,,,DEN 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,94
1,15:00,1.0,10.0,LAC 25,0.0,0.0,"Justin Herbert pass incomplete deep left intended for Josh Palmer. Penalty on Damarri Mathis: Defensive Pass Interference, 30 yards (accepted) (no play)",0.61,2.59,6.0,2022,94
1,14:54,1.0,10.0,DEN 45,0.0,0.0,Austin Ekeler left tackle for 8 yards (tackle by Kareem Jackson),2.59,3.12,6.0,2022,94
1,14:20,2.0,2.0,DEN 37,0.0,0.0,Justin Herbert pass incomplete short right,3.12,2.41,6.0,2022,94
1,14:14,3.0,2.0,DEN 37,0.0,0.0,Justin Herbert pass incomplete short right intended for DeAndre Carter,2.41,0.79,6.0,2022,94
1,14:10,4.0,2.0,DEN 37,0.0,0.0,Justin Herbert pass complete short right to Michael Bandy for 4 yards (tackle by Alex Singleton),0.79,3.38,6.0,2022,94
1,13:28,1.0,10.0,DEN 33,0.0,0.0,Austin Ekeler up the middle for -1 yards (tackle by Baron Browning and Dre'Mont Jones),3.38,2.7,6.0,2022,94
1,12:51,2.0,11.0,DEN 34,0.0,0.0,Justin Herbert pass incomplete short left intended for Mike Williams,2.7,2.01,6.0,2022,94
1,12:45,3.0,11.0,DEN 34,0.0,0.0,"Penalty on Will Clapp: False Start, 5 yards (accepted) (no play)",2.01,1.35,6.0,2022,94
1,12:45,3.0,16.0,DEN 39,0.0,0.0,Justin Herbert pass incomplete deep right intended for Michael Bandy,1.35,0.66,6.0,2022,94
1,12:39,4.0,16.0,DEN 39,0.0,0.0,"JK Scott punts 18 yards, fair catch by Montrell Washington at DEN-21",0.66,-0.34,6.0,2022,94
1,12:31,1.0,10.0,DEN 21,0.0,0.0,"Melvin Gordon left guard for 4 yards. Penalty on Lloyd Cushenberry: Offensive Holding, 10 yards (accepted) (no play)",0.34,-0.72,6.0,2022,94
1,12:12,1.0,20.0,DEN 11,0.0,0.0,Melvin Gordon right tackle for 2 yards (tackle by Khalil Mack and Morgan Fox),-0.72,-1.35,6.0,2022,94
1,11:31,2.0,18.0,DEN 13,0.0,0.0,Russell Wilson pass complete short middle to Courtland Sutton for 9 yards (tackle by Kenneth Murray and Derwin James),-1.35,-0.76,6.0,2022,94
1,10:49,3.0,9.0,DEN 22,0.0,0.0,"Penalty on Cameron Fleming: False Start, 5 yards (accepted) (no play)",-0.76,-1.59,6.0,2022,94
1,10:21,3.0,14.0,DEN 17,0.0,0.0,"Russell Wilson pass incomplete deep left intended for Courtland Sutton. Penalty on J.C. Jackson: Defensive Pass Interference, 21 yards (accepted) (no play)",-1.59,1.47,6.0,2022,94
1,10:16,1.0,10.0,DEN 38,0.0,0.0,Russell Wilson pass complete short middle to Kendall Hinton for 8 yards (tackle by Derwin James and Chris Rumph),1.47,2.0,6.0,2022,94
1,9:45,2.0,2.0,DEN 46,0.0,0.0,Russell Wilson pass complete deep right to Eric Tomlinson for 16 yards (tackle by Derrek Tuszka),2.0,3.05,6.0,2022,94
1,9:20,1.0,10.0,LAC 38,0.0,0.0,Russell Wilson pass complete short left to Andrew Beck for 7 yards (tackle by Chris Rumph),3.05,3.45,6.0,2022,94
1,8:44,2.0,3.0,LAC 31,0.0,0.0,Melvin Gordon up the middle for 2 yards (tackle by Drue Tranquill),3.45,2.94,6.0,2022,94
1,7:53,3.0,2.0,LAC 29,0.0,0.0,Russell Wilson sacked by Khalil Mack for -4 yards,2.94,1.16,6.0,2022,94
1,7:25,4.0,6.0,LAC 33,3.0,0.0,Brandon McManus 51 yard field goal good,1.16,3.0,6.0,2022,94
1,7:20,,,DEN 35,3.0,0.0,"Brandon McManus kicks off 63 yards, returned by DeAndre Carter for 27 yards (tackle by Essang Bassey)",0.0,0.87,6.0,2022,94
1,7:14,1.0,10.0,LAC 29,3.0,0.0,"Austin Ekeler right tackle for no gain. Penalty on Zion Johnson: Offensive Holding, 10 yards (accepted) (no play)",0.87,0.11,6.0,2022,94
1,6:53,1.0,20.0,LAC 19,3.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for 9 yards (tackle by Alex Singleton and Mike Purcell),0.11,0.19,6.0,2022,94
