Quarter,Time,Tm,Detail,SFO,ATL,week,year,game_id
1.0,8:46,Falcons,MyCole Pruitt 2 yard pass from Marcus Mariota (Younghoe Koo kick),0,7,6.0,2022,82
,1:26,Falcons,Jaylinn Hawkins fumble recovery in end zone (Younghoe Koo kick),0,14,6.0,2022,82
2.0,11:32,49ers,Brandon Aiyuk 12 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,14,6.0,2022,82
,7:07,49ers,Brandon Aiyuk 14 yard pass from Jimmy Garoppolo (Robbie Gould kick),14,14,6.0,2022,82
,0:57,Falcons,Marcus Mariota 3 yard rush (Younghoe Koo kick),14,21,6.0,2022,82
3.0,8:40,Falcons,Kyle Pitts 7 yard pass from Marcus Mariota (Younghoe Koo kick),14,28,6.0,2022,82
