Unnamed: 0,CIN,NOR,week,year,game_id
First Downs,21,22,6.0,2022,83
Rush-Yds-TDs,14-75-1,34-228-1,6.0,2022,83
Cmp-Att-Yd-TD-INT,28-37-300-3-0,19-36-178-1-0,6.0,2022,83
Sacked-Yards,3-27,1-7,6.0,2022,83
Net Pass Yards,273,171,6.0,2022,83
Total Yards,348,399,6.0,2022,83
Fumbles-Lost,1-1,0-0,6.0,2022,83
Turnovers,1,0,6.0,2022,83
Penalties-Yards,3-30,4-34,6.0,2022,83
Third Down Conv.,6-10,8-17,6.0,2022,83
Fourth Down Conv.,0-0,0-1,6.0,2022,83
Time of Possession,27:46,32:14,6.0,2022,83
