Quarter,Time,Tm,Detail,WAS,CHI,week,year,game_id
2.0,0:46,Commanders,Joey Slye 38 yard field goal,3,0,6.0,2022,81
3.0,7:16,Bears,Dante Pettis 40 yard pass from Justin Fields (Cairo Santos kick),3,7,6.0,2022,81
4.0,14:51,Commanders,Joey Slye 28 yard field goal,6,7,6.0,2022,81
,7:21,Commanders,Brian Robinson Jr. 1 yard rush (pass failed),12,7,6.0,2022,81
