Unnamed: 0,JAX,IND,week,year,game_id
First Downs,25,29,6.0,2022,85
Rush-Yds-TDs,33-243-3,16-45-1,6.0,2022,85
Cmp-Att-Yd-TD-INT,20-22-165-1-0,42-58-389-3-0,6.0,2022,85
Sacked-Yards,4-29,0-0,6.0,2022,85
Net Pass Yards,136,389,6.0,2022,85
Total Yards,379,434,6.0,2022,85
Fumbles-Lost,2-1,2-0,6.0,2022,85
Turnovers,1,0,6.0,2022,85
Penalties-Yards,4-44,7-52,6.0,2022,85
Third Down Conv.,5-10,10-15,6.0,2022,85
Fourth Down Conv.,1-2,0-0,6.0,2022,85
Time of Possession,31:11,28:49,6.0,2022,85
