Unnamed: 0,BAL,NYG,week,year,game_id
First Downs,23,18,6.0,2022,88
Rush-Yds-TDs,24-211-1,31-83-1,6.0,2022,88
Cmp-Att-Yd-TD-INT,17-32-210-1-1,19-27-173-2-0,6.0,2022,88
Sacked-Yards,2-15,4-18,6.0,2022,88
Net Pass Yards,195,155,6.0,2022,88
Total Yards,406,238,6.0,2022,88
Fumbles-Lost,2-1,1-1,6.0,2022,88
Turnovers,2,1,6.0,2022,88
Penalties-Yards,10-74,3-25,6.0,2022,88
Third Down Conv.,4-10,7-14,6.0,2022,88
Fourth Down Conv.,0-0,0-0,6.0,2022,88
Time of Possession,28:08,31:52,6.0,2022,88
