Quarter,Time,Tm,Detail,NYJ,GNB,week,year,game_id
2.0,5:46,Jets,Greg Zuerlein 32 yard field goal,3,0,6.0,2022,86
,0:00,Packers,Mason Crosby 29 yard field goal,3,3,6.0,2022,86
3.0,8:11,Jets,Braxton Berrios 20 yard rush (Greg Zuerlein kick),10,3,6.0,2022,86
,5:43,Jets,Will Parks 20 yard blocked punt return (Greg Zuerlein kick),17,3,6.0,2022,86
,2:35,Packers,Allen Lazard 25 yard pass from Aaron Rodgers (Mason Crosby kick),17,10,6.0,2022,86
4.0,14:52,Jets,Breece Hall 34 yard rush (Greg Zuerlein kick),24,10,6.0,2022,86
,2:34,Jets,Greg Zuerlein 23 yard field goal,27,10,6.0,2022,86
