Unnamed: 0,TAM,PIT,week,year,game_id
First Downs,20,15,6.0,2022,89
Rush-Yds-TDs,26-75-0,29-77-0,6.0,2022,89
Cmp-Att-Yd-TD-INT,25-40-243-1-0,20-30-211-2-0,6.0,2022,89
Sacked-Yards,2-14,2-18,6.0,2022,89
Net Pass Yards,229,193,6.0,2022,89
Total Yards,304,270,6.0,2022,89
Fumbles-Lost,1-0,1-0,6.0,2022,89
Turnovers,0,0,6.0,2022,89
Penalties-Yards,6-42,7-45,6.0,2022,89
Third Down Conv.,4-14,7-15,6.0,2022,89
Fourth Down Conv.,2-2,1-1,6.0,2022,89
Time of Possession,30:01,29:59,6.0,2022,89
