Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Russell Wilson,DEN,15,28,188,1,0,4,28,47,86.6,6.0,2022,94
Latavius Murray,DEN,0,0,0,0,0,0,0,0,,6.0,2022,94
Melvin Gordon,DEN,0,0,0,0,0,0,0,0,,6.0,2022,94
Mike Boone,DEN,0,0,0,0,0,0,0,0,,6.0,2022,94
Jerry Jeudy,DEN,0,0,0,0,0,0,0,0,,6.0,2022,94
Greg Dulcich,DEN,0,0,0,0,0,0,0,0,,6.0,2022,94
KJ Hamler,DEN,0,0,0,0,0,0,0,0,,6.0,2022,94
Eric Tomlinson,DEN,0,0,0,0,0,0,0,0,,6.0,2022,94
Courtland Sutton,DEN,0,0,0,0,0,0,0,0,,6.0,2022,94
Kendall Hinton,DEN,0,0,0,0,0,0,0,0,,6.0,2022,94
Andrew Beck,DEN,0,0,0,0,0,0,0,0,,6.0,2022,94
Montrell Washington,DEN,0,0,0,0,0,0,0,0,,6.0,2022,94
Justin Herbert,LAC,37,57,238,0,1,2,14,24,66.3,6.0,2022,94
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,6.0,2022,94
Sony Michel,LAC,0,0,0,0,0,0,0,0,,6.0,2022,94
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,6.0,2022,94
Donald Parham,LAC,0,0,0,0,0,0,0,0,,6.0,2022,94
Gerald Everett,LAC,0,0,0,0,0,0,0,0,,6.0,2022,94
DeAndre Carter,LAC,0,0,0,0,0,0,0,0,,6.0,2022,94
Mike Williams,LAC,0,0,0,0,0,0,0,0,,6.0,2022,94
Michael Bandy,LAC,0,0,0,0,0,0,0,0,,6.0,2022,94
Zander Horvath,LAC,0,0,0,0,0,0,0,0,,6.0,2022,94
