Quarter,Time,Tm,Detail,CAR,LAR,week,year,game_id
1.0,8:38,Panthers,Eddy Piñeiro 42 yard field goal,3,0,6.0,2022,90
2.0,3:34,Rams,Allen Robinson 5 yard pass from Matthew Stafford (Matt Gay kick),3,7,6.0,2022,90
,1:58,Panthers,Donte Jackson 30 yard interception return (Eddy Piñeiro kick),10,7,6.0,2022,90
3.0,4:37,Rams,Matt Gay 21 yard field goal,10,10,6.0,2022,90
,0:11,Rams,Ben Skowronek 17 yard rush (Matt Gay kick),10,17,6.0,2022,90
4.0,8:15,Rams,Darrell Henderson 2 yard rush (Matt Gay kick),10,24,6.0,2022,90
