Unnamed: 0,NYJ,GNB,week,year,game_id
First Downs,14,15,6.0,2022,86
Rush-Yds-TDs,33-179-2,20-60-0,6.0,2022,86
Cmp-Att-Yd-TD-INT,10-18-110-0-0,28-45-254-1-0,6.0,2022,86
Sacked-Yards,2-11,4-36,6.0,2022,86
Net Pass Yards,99,218,6.0,2022,86
Total Yards,278,278,6.0,2022,86
Fumbles-Lost,0-0,2-1,6.0,2022,86
Turnovers,0,1,6.0,2022,86
Penalties-Yards,7-79,7-42,6.0,2022,86
Third Down Conv.,1-11,4-16,6.0,2022,86
Fourth Down Conv.,0-0,1-4,6.0,2022,86
Time of Possession,28:48,31:12,6.0,2022,86
