Unnamed: 0,WAS,CHI,week,year,game_id
First Downs,14,20,6.0,2022,81
Rush-Yds-TDs,28-128-1,37-237-0,6.0,2022,81
Cmp-Att-Yd-TD-INT,12-22-99-0-0,14-27-190-1-1,6.0,2022,81
Sacked-Yards,3-13,5-36,6.0,2022,81
Net Pass Yards,86,154,6.0,2022,81
Total Yards,214,391,6.0,2022,81
Fumbles-Lost,1-0,2-1,6.0,2022,81
Turnovers,0,2,6.0,2022,81
Penalties-Yards,7-36,4-42,6.0,2022,81
Third Down Conv.,2-11,5-13,6.0,2022,81
Fourth Down Conv.,0-0,1-4,6.0,2022,81
Time of Possession,27:48,32:12,6.0,2022,81
