Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Fantasy per Game
Tm,G,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Buffalo Bills,1,21,160,2,3,2,16,0,28.7,33.6,28.6,28.7,33.6,28.6
Pittsburgh Steelers,1,27,134,1,4,2,38,0,23.2,28.2,24.2,23.2,28.2,24.2
New York Giants,1,20,133,1,4,3,31,0,22.4,25.4,23.9,22.4,25.4,23.9
Tennessee Titans,1,22,133,1,10,6,24,0,21.7,27.7,24.7,21.7,27.7,24.7
Philadelphia Eagles,1,19,107,2,4,3,7,0,21.4,25.4,22.9,21.4,25.4,22.9
Seattle Seahawks,1,31,102,0,14,12,109,0,21.1,33.1,27.1,21.1,33.1,27.1
Tampa Bay Buccaneers,1,22,48,0,7,6,100,1,20.8,29.8,23.8,20.8,29.8,23.8
Chicago Bears,1,23,91,0,4,4,51,1,20.2,24.2,22.2,20.2,24.2,22.2
Carolina Panthers,1,25,173,0,4,4,17,0,19.0,26.0,21.0,19.0,26.0,21.0
Baltimore Ravens,1,16,70,1,8,6,57,0,18.7,24.7,21.7,18.7,24.7,21.7
Dallas Cowboys,1,24,96,1,5,4,24,0,18.0,22.0,20.0,18.0,22.0,20.0
New Orleans Saints,1,20,108,0,5,5,11,1,17.9,22.9,20.4,17.9,22.9,20.4
Jacksonville Jaguars,1,20,73,0,8,5,36,1,16.9,21.9,19.4,16.9,21.9,19.4
Cincinnati Bengals,1,21,40,1,9,9,61,0,16.1,25.1,20.6,16.1,25.1,20.6
Arizona Cardinals,1,18,78,1,2,2,12,0,15.0,17.0,16.0,15.0,17.0,16.0
Houston Texans,1,19,68,1,3,2,17,0,14.5,16.5,15.5,14.5,16.5,15.5
New York Jets,1,19,54,0,6,5,26,1,14.2,19.0,16.5,14.2,19.0,16.5
Miami Dolphins,1,31,112,0,3,3,27,0,13.9,16.9,15.4,13.9,16.9,15.4
Indianapolis Colts,1,9,59,0,7,5,20,1,13.9,18.9,16.4,13.9,18.9,16.4
Detroit Lions,1,21,71,1,2,2,6,0,13.7,15.7,14.7,13.7,15.7,14.7
San Francisco 49ers,1,22,67,1,3,3,4,0,13.1,16.1,14.6,13.1,16.1,14.6
Atlanta Falcons,1,17,53,0,5,5,10,1,12.3,17.3,14.8,12.3,17.3,14.8
Cleveland Browns,1,21,43,1,5,4,14,0,11.7,15.7,13.7,11.7,15.7,13.7
New England Patriots,1,22,46,1,2,2,2,0,10.8,12.8,11.8,10.8,12.8,11.8
Green Bay Packers,1,20,44,0,14,14,49,0,9.3,23.3,16.3,9.3,23.3,16.3
Las Vegas Raiders,1,13,45,0,10,8,36,0,8.1,16.1,12.1,8.1,16.1,12.1
Minnesota Vikings,1,17,53,0,6,4,23,0,7.6,11.6,9.6,7.6,11.6,9.6
Los Angeles Rams,1,21,77,0,4,2,17,0,7.4,10.4,8.4,7.4,10.4,8.4
Kansas City Chiefs,1,16,53,0,3,3,18,0,7.1,10.1,8.6,7.1,10.1,8.6
Denver Broncos,1,20,62,0,1,1,29,0,7.1,9.1,7.6,7.1,9.1,7.6
Los Angeles Chargers,1,10,41,0,6,4,13,0,5.4,9.4,7.4,5.4,9.4,7.4
Washington Commanders,1,15,30,0,7,4,23,0,5.3,9.3,7.3,5.3,9.3,7.3
