Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles,Unnamed: 28_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Zaire Franklin,28.0,IND,LLB,17.0,17.0,2.0,82.0,66.0,80.5,635.0,9.6,7.7,2.0,96.9,5.1,302.0,333.0,43.0,3.0,1.0,0.0,3.5,8.0,173.0,24.0,12.2,"PB,AP-2,AP DPoY-17"
2.0,Budda Baker,28.0,ARI,FS,17.0,17.0,0.0,74.0,55.0,74.3,608.0,11.1,8.2,7.0,129.8,7.4,364.0,244.0,31.0,2.0,1.0,0.0,2.0,5.0,164.0,18.0,9.9,"PB,AP-2"
3.0,Jamien Sherwood,24.0,NYJ,RILB,17.0,16.0,0.0,52.0,40.0,76.9,349.0,8.7,6.7,2.0,107.0,4.8,147.0,202.0,28.0,1.0,0.0,0.0,2.0,3.0,158.0,9.0,5.4,
4.0,Robert Spillane,29.0,LVR,MLB,17.0,17.0,2.0,67.0,49.0,73.1,504.0,10.3,7.5,4.0,101.8,4.5,219.0,285.0,60.0,1.0,1.0,2.0,2.0,4.0,158.0,11.0,6.5,
5.0,Roquan Smith,27.0,BAL,LILB,16.0,16.0,1.0,68.0,50.0,73.5,644.0,12.9,9.5,2.0,106.5,4.5,230.0,414.0,48.0,4.0,2.0,0.0,1.5,8.0,154.0,5.0,3.1,"PB,AP-1"
6.0,Zack Baun,28.0,PHI,LLB,16.0,16.0,1.0,68.0,50.0,73.5,379.0,7.6,5.6,0.0,80.5,2.0,73.0,306.0,64.0,2.0,1.0,1.0,3.5,7.0,151.0,8.0,5.0,"PB,AP-1,AP DPoY-5"
7.0,Kaden Elliss,29.0,ATL,RILB,17.0,17.0,1.0,60.0,48.0,80.0,457.0,9.5,7.6,1.0,97.0,4.7,192.0,265.0,60.0,6.0,11.0,0.0,5.0,22.0,151.0,7.0,4.4,
8.0,Daiyan Henley,25.0,LAC,LILB,17.0,17.0,1.0,79.0,56.0,70.9,525.0,9.4,6.6,1.0,87.8,3.1,120.0,405.0,52.0,2.0,2.0,0.0,1.0,5.0,147.0,14.0,8.7,
9.0,Nick Cross,23.0,IND,SS,17.0,17.0,3.0,59.0,42.0,71.2,506.0,12.0,8.6,6.0,109.9,9.2,295.0,211.0,15.0,1.0,0.0,0.0,1.0,2.0,146.0,12.0,7.6,
10.0,Jordyn Brooks,27.0,MIA,RILB,17.0,17.0,0.0,82.0,55.0,67.1,582.0,10.6,7.1,3.0,99.7,4.3,198.0,384.0,38.0,5.0,3.0,0.0,3.0,11.0,143.0,9.0,5.9,
11.0,Germaine Pratt,28.0,CIN,MLB,17.0,17.0,2.0,71.0,50.0,70.4,505.0,10.1,7.1,2.0,88.1,2.6,93.0,412.0,43.0,3.0,4.0,2.0,0.0,7.0,143.0,18.0,11.2,
12.0,E.J. Speed,29.0,IND,MLB,15.0,15.0,1.0,62.0,49.0,79.0,454.0,9.3,7.3,1.0,95.8,2.1,134.0,320.0,46.0,3.0,1.0,1.0,0.0,4.0,142.0,17.0,10.7,
13.0,Eric Kendricks,32.0,DAL,MLB,15.0,15.0,2.0,36.0,26.0,72.2,375.0,14.4,10.4,2.0,101.0,3.9,87.0,288.0,36.0,1.0,0.0,1.0,3.0,4.0,138.0,9.0,6.1,
14.0,Ernest Jones,25.0,2TM,RILB,16.0,15.0,1.0,48.0,35.0,72.9,362.0,10.3,7.5,0.0,85.6,4.4,144.0,218.0,55.0,0.0,2.0,1.0,0.5,3.0,138.0,9.0,6.1,
14.0,Ernest Jones,25.0,TEN,RILB,6.0,5.0,0.0,10.0,8.0,80.0,82.0,10.3,8.2,0.0,100.8,3.7,24.0,58.0,13.0,0.0,1.0,1.0,0.0,1.0,44.0,3.0,6.4,
14.0,Ernest Jones,25.0,SEA,LB,10.0,10.0,1.0,38.0,27.0,71.1,280.0,10.4,7.4,0.0,81.0,4.6,120.0,160.0,42.0,0.0,1.0,0.0,0.5,2.0,94.0,6.0,6.0,
15.0,Kyzir White,28.0,ARI,RILB,17.0,17.0,1.0,51.0,38.0,74.5,410.0,10.8,8.0,1.0,96.0,2.8,106.0,304.0,47.0,2.0,5.0,0.0,2.5,10.0,137.0,8.0,5.5,
16.0,Demario Davis,35.0,NOR,MLB,16.0,16.0,1.0,55.0,37.0,67.3,378.0,10.2,6.9,0.0,79.2,4.3,140.0,238.0,38.0,1.0,2.0,0.0,2.0,5.0,136.0,11.0,7.5,
17.0,Christian Rozeboom,27.0,LAR,RLB,17.0,11.0,1.0,56.0,45.0,80.4,476.0,10.6,8.5,2.0,106.5,3.6,121.0,355.0,21.0,0.0,0.0,0.0,1.0,1.0,135.0,13.0,8.8,
18.0,Bobby Wagner,34.0,WAS,MLB,17.0,17.0,0.0,38.0,25.0,65.8,215.0,8.6,5.7,1.0,89.3,4.0,30.0,185.0,41.0,3.0,5.0,0.0,2.0,11.0,132.0,8.0,5.7,"PB,AP-2,AP DPoY-17"
19.0,Jack Campbell,24.0,DET,MLB,17.0,17.0,0.0,45.0,35.0,77.8,436.0,12.5,9.7,1.0,114.4,7.1,251.0,185.0,85.0,3.0,3.0,0.0,1.5,8.0,131.0,7.0,5.1,
