Rk,Tm,G,Downs 3DAtt,Downs 3DConv,Downs 3D%,Downs 4DAtt,Downs 4DConv,Downs 4D%,Red Zone RZAtt,Red Zone RZTD,Red Zone RZPct
1.0,Detroit Lions,17.0,185.0,60.0,32.4%,29.0,12.0,41.4%,55.0,28.0,50.9%
2.0,Pittsburgh Steelers,17.0,204.0,72.0,35.3%,22.0,15.0,68.2%,61.0,33.0,54.1%
3.0,Philadelphia Eagles,17.0,211.0,75.0,35.5%,30.0,19.0,63.3%,48.0,24.0,50.0%
4.0,Miami Dolphins,17.0,209.0,75.0,35.9%,20.0,10.0,50.0%,55.0,27.0,49.1%
5.0,Dallas Cowboys,17.0,205.0,75.0,36.6%,25.0,17.0,68.0%,56.0,42.0,75.0%
6.0,Minnesota Vikings,17.0,219.0,78.0,35.6%,35.0,13.0,37.1%,49.0,29.0,59.2%
7.0,Green Bay Packers,17.0,208.0,78.0,37.5%,30.0,18.0,60.0%,50.0,30.0,60.0%
8.0,Washington Commanders,17.0,207.0,79.0,38.2%,24.0,16.0,66.7%,53.0,32.0,60.4%
9.0,Houston Texans,17.0,220.0,79.0,35.9%,26.0,17.0,65.4%,44.0,28.0,63.6%
10.0,Tampa Bay Buccaneers,17.0,210.0,80.0,38.1%,30.0,19.0,63.3%,57.0,31.0,54.4%
11.0,Los Angeles Chargers,17.0,224.0,80.0,35.7%,29.0,18.0,62.1%,40.0,18.0,45.0%
12.0,Chicago Bears,17.0,213.0,80.0,37.6%,19.0,9.0,47.4%,63.0,29.0,46.0%
13.0,Cleveland Browns,17.0,224.0,81.0,36.2%,18.0,8.0,44.4%,53.0,33.0,62.3%
14.0,Seattle Seahawks,17.0,224.0,83.0,37.1%,20.0,10.0,50.0%,57.0,30.0,52.6%
15.0,Los Angeles Rams,17.0,204.0,83.0,40.7%,17.0,9.0,52.9%,56.0,28.0,50.0%
16.0,New York Jets,17.0,215.0,83.0,38.6%,21.0,16.0,76.2%,63.0,37.0,58.7%
17.0,Cincinnati Bengals,17.0,207.0,87.0,42.0%,27.0,16.0,59.3%,53.0,36.0,67.9%
18.0,New York Giants,17.0,216.0,87.0,40.3%,21.0,12.0,57.1%,54.0,29.0,53.7%
19.0,Denver Broncos,17.0,236.0,88.0,37.3%,30.0,16.0,53.3%,49.0,23.0,46.9%
20.0,Tennessee Titans,17.0,213.0,88.0,41.3%,13.0,10.0,76.9%,57.0,36.0,63.2%
21.0,Las Vegas Raiders,17.0,221.0,88.0,39.8%,13.0,10.0,76.9%,58.0,35.0,60.3%
22.0,Buffalo Bills,17.0,201.0,88.0,43.8%,32.0,17.0,53.1%,61.0,35.0,57.4%
23.0,Baltimore Ravens,17.0,226.0,90.0,39.8%,28.0,12.0,42.9%,50.0,27.0,54.0%
24.0,Arizona Cardinals,17.0,208.0,91.0,43.8%,24.0,14.0,58.3%,57.0,30.0,52.6%
25.0,New Orleans Saints,17.0,224.0,92.0,41.1%,27.0,14.0,51.9%,54.0,30.0,55.6%
26.0,New England Patriots,17.0,215.0,93.0,43.3%,21.0,11.0,52.4%,57.0,36.0,63.2%
27.0,Kansas City Chiefs,17.0,215.0,93.0,43.3%,23.0,12.0,52.2%,54.0,28.0,51.9%
28.0,San Francisco 49ers,17.0,216.0,93.0,43.1%,26.0,17.0,65.4%,57.0,39.0,68.4%
29.0,Atlanta Falcons,17.0,212.0,96.0,45.3%,26.0,14.0,53.8%,57.0,37.0,64.9%
30.0,Jacksonville Jaguars,17.0,225.0,97.0,43.1%,24.0,14.0,58.3%,59.0,35.0,59.3%
31.0,Indianapolis Colts,17.0,234.0,104.0,44.4%,21.0,11.0,52.4%,61.0,37.0,60.7%
32.0,Carolina Panthers,17.0,223.0,112.0,50.2%,15.0,9.0,60.0%,76.0,50.0,65.8%
,League Total,,,,,,,,,,
