Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Kirk Cousins,MIN,1,0,0,0,4.0,2023,52
Alexander Mattison,MIN,17,95,0,17,4.0,2023,52
Cam Akers,MIN,5,40,0,10,4.0,2023,52
Justin Jefferson,MIN,0,0,0,0,4.0,2023,52
T.J. Hockenson,MIN,0,0,0,0,4.0,2023,52
K.J. Osborn,MIN,0,0,0,0,4.0,2023,52
Jordan Addison,MIN,0,0,0,0,4.0,2023,52
Bryce Young,CAR,2,10,0,6,4.0,2023,52
Chuba Hubbard,CAR,14,41,0,7,4.0,2023,52
Miles Sanders,CAR,13,19,0,6,4.0,2023,52
Laviska Shenault Jr.,CAR,1,7,0,7,4.0,2023,52
Adam Thielen,CAR,1,6,0,6,4.0,2023,52
Terrace Marshall Jr.,CAR,0,0,0,0,4.0,2023,52
DJ Chark,CAR,0,0,0,0,4.0,2023,52
Hayden Hurst,CAR,0,0,0,0,4.0,2023,52
Ian Thomas,CAR,0,0,0,0,4.0,2023,52
