Unnamed: 0,DET,GNB,week,year,game_id
First Downs,25,15,4.0,2023,49
Rush-Yds-TDs,43-211-3,12-27-1,4.0,2023,49
Cmp-Att-Yd-TD-INT,19-28-210-1-1,23-36-246-1-2,4.0,2023,49
Sacked-Yards,2-20,5-43,4.0,2023,49
Net Pass Yards,190,203,4.0,2023,49
Total Yards,401,230,4.0,2023,49
Fumbles-Lost,0-0,2-0,4.0,2023,49
Turnovers,1,2,4.0,2023,49
Penalties-Yards,8-70,4-31,4.0,2023,49
Third Down Conv.,7-17,3-11,4.0,2023,49
Fourth Down Conv.,2-2,1-1,4.0,2023,49
Time of Possession,37:58,22:02,4.0,2023,49
