Quarter,Time,Tm,Detail,MIN,CAR,week,year,game_id
1.0,10:27,Panthers,Sam Franklin 99 yard interception return (Eddy Piñeiro kick),0,7,4.0,2023,52
2.0,14:56,Panthers,Eddy Piñeiro 26 yard field goal,0,10,4.0,2023,52
,9:43,Vikings,Justin Jefferson 4 yard pass from Kirk Cousins (Greg Joseph kick),7,10,4.0,2023,52
,0:00,Panthers,Eddy Piñeiro 56 yard field goal,7,13,4.0,2023,52
3.0,3:58,Vikings,D.J. Wonnum 51 yard fumble return (Greg Joseph kick),14,13,4.0,2023,52
,0:00,Vikings,Justin Jefferson 30 yard pass from Kirk Cousins (Greg Joseph kick),21,13,4.0,2023,52
