Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Commanders to receive the opening kickoff.",,,4.0,2023,59
1,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,59
1,15:00,1.0,10.0,WAS 25,0.0,0.0,Brian Robinson right guard for 1 yard (tackle by Nicholas Morrow and Zach Cunningham),0.61,0.2,4.0,2023,59
1,14:22,2.0,9.0,WAS 26,0.0,0.0,Sam Howell pass complete short right to Terry McLaurin for 15 yards (tackle by Darius Slay),0.2,1.66,4.0,2023,59
1,13:46,1.0,10.0,WAS 41,0.0,0.0,Sam Howell pass complete short left to Terry McLaurin for 14 yards (tackle by Josh Jobe),1.66,2.59,4.0,2023,59
1,13:10,1.0,10.0,PHI 45,0.0,0.0,Brian Robinson left end for 6 yards (tackle by James Bradberry),2.59,2.85,4.0,2023,59
1,12:35,2.0,4.0,PHI 39,0.0,0.0,Sam Howell pass complete short middle to Curtis Samuel for 15 yards (tackle by Darius Slay),2.85,3.97,4.0,2023,59
1,11:57,1.0,10.0,PHI 24,0.0,0.0,Sam Howell pass incomplete short left intended for Jahan Dotson (defended by Josh Jobe),3.97,3.43,4.0,2023,59
1,11:52,2.0,10.0,PHI 24,0.0,0.0,Sam Howell scrambles up the middle for 3 yards (tackle by Nicholas Morrow),3.43,3.14,4.0,2023,59
1,11:08,3.0,7.0,PHI 21,0.0,0.0,Sam Howell pass complete short left to Brian Robinson for 6 yards (tackle by Jalen Carter and Zach Cunningham),3.14,2.59,4.0,2023,59
1,10:26,4.0,1.0,PHI 15,0.0,0.0,Brian Robinson left guard for 2 yards (tackle by Zach Cunningham and Jalen Carter),2.59,4.71,4.0,2023,59
1,9:44,1.0,10.0,PHI 13,0.0,0.0,Antonio Gibson right guard for 3 yards (tackle by Zach Cunningham),4.71,4.58,4.0,2023,59
1,9:03,2.0,7.0,PHI 10,0.0,0.0,Sam Howell pass incomplete short middle intended for Jahan Dotson,4.58,3.65,4.0,2023,59
1,8:58,3.0,7.0,PHI 10,0.0,0.0,"Penalty on Logan Thomas: False Start, 5 yards (accepted) (no play)",3.65,3.03,4.0,2023,59
1,8:58,3.0,12.0,PHI 15,0.0,0.0,Sam Howell scrambles right end for 6 yards (tackle by Zach Cunningham),3.03,2.85,4.0,2023,59
1,8:58,4.0,6.0,PHI 9,0.0,0.0,"Penalty on Zach Cunningham: Defensive Holding, 5 yards (accepted) (no play)",2.85,6.28,4.0,2023,59
1,8:34,1.0,4.0,PHI 4,0.0,0.0,Brian Robinson up the middle for 3 yards (tackle by Milton Williams and Reed Blankenship),6.28,5.91,4.0,2023,59
1,7:55,2.0,1.0,PHI 1,6.0,0.0,"Curtis Samuel left end for 1 yard, touchdown",5.91,7.0,4.0,2023,59
1,7:52,,,PHI 15,7.0,0.0,Joey Slye kicks extra point good,0.0,0.0,4.0,2023,59
1,7:52,,,WAS 35,7.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,59
1,7:52,1.0,10.0,PHI 25,7.0,0.0,Jalen Hurts pass complete short middle to D'Andre Swift for 9 yards (tackle by Kamren Curl),0.61,1.28,4.0,2023,59
1,7:18,2.0,1.0,PHI 34,7.0,0.0,Jalen Hurts pass complete short left to A.J. Brown for 10 yards (tackle by Kamren Curl and Emmanuel Forbes),1.28,1.86,4.0,2023,59
1,6:41,1.0,10.0,PHI 44,7.0,0.0,D'Andre Swift up the middle for -1 yards (tackle by Montez Sweat and Chase Young),1.86,1.18,4.0,2023,59
1,6:09,2.0,11.0,PHI 43,7.0,0.0,"Penalty on Landon Dickerson: False Start, 5 yards (accepted) (no play)",1.18,0.51,4.0,2023,59
1,5:52,2.0,16.0,PHI 38,7.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 8 yards (tackle by Kendall Fuller),0.51,0.89,4.0,2023,59
1,5:10,3.0,8.0,PHI 46,7.0,0.0,Jalen Hurts pass complete short left to A.J. Brown for 11 yards (tackle by Chase Young),0.89,2.72,4.0,2023,59
1,4:43,1.0,10.0,WAS 43,7.0,0.0,Jalen Hurts sacked by Kamren Curl for no gain,2.72,2.18,4.0,2023,59
1,3:56,2.0,10.0,WAS 43,7.0,0.0,"Jalen Hurts pass complete short left to D'Andre Swift for 7 yards (tackle by Cody Barton). Penalty on Benjamin St-Juste: Face Mask (15 Yards), 15 yards (accepted)",2.18,4.17,4.0,2023,59
1,3:36,1.0,10.0,WAS 21,7.0,0.0,D'Andre Swift up the middle for 8 yards (tackle by Abdullah Anderson),4.17,4.95,4.0,2023,59
1,3:08,2.0,2.0,WAS 13,7.0,0.0,Jalen Hurts pass complete short right to D'Andre Swift for -4 yards (tackle by Jamin Davis),4.95,3.46,4.0,2023,59
1,2:32,3.0,6.0,WAS 17,7.0,0.0,Jalen Hurts pass complete short middle to Dallas Goedert for 8 yards (tackle by Kamren Curl and Darrick Forrest),3.46,5.14,4.0,2023,59
1,1:56,1.0,9.0,WAS 9,7.0,0.0,D'Andre Swift up the middle for 4 yards (tackle by Kamren Curl and Darrick Forrest),5.14,5.15,4.0,2023,59
1,1:20,2.0,5.0,WAS 5,7.0,6.0,"D'Andre Swift left guard for 5 yards, touchdown",5.15,7.0,4.0,2023,59
1,1:17,,,WAS 15,7.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,4.0,2023,59
1,1:17,,,PHI 35,7.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,59
1,1:17,1.0,10.0,WAS 25,7.0,7.0,Antonio Gibson right tackle for 10 yards (tackle by Darius Slay and Josh Sweat),0.61,1.27,4.0,2023,59
1,0:35,1.0,10.0,WAS 35,7.0,7.0,Antonio Gibson up the middle for 1 yard (tackle by Josh Sweat),1.27,0.86,4.0,2023,59
2,15:00,2.0,9.0,WAS 36,7.0,7.0,Sam Howell pass complete short right to Terry McLaurin for 5 yards (tackle by Darius Slay),0.86,0.83,4.0,2023,59
2,14:22,3.0,4.0,WAS 41,7.0,7.0,Sam Howell pass complete short right to Terry McLaurin for 24 yards (tackle by Reed Blankenship),0.83,3.25,4.0,2023,59
2,13:40,1.0,10.0,PHI 35,7.0,7.0,"Sam Howell pass incomplete deep right intended for Dyami Brown. Penalty on Nolan Smith: Defensive Offside, 5 yards (accepted) (no play)",3.25,3.98,4.0,2023,59
2,13:34,1.0,5.0,PHI 30,7.0,7.0,"Sam Howell pass complete deep middle to Logan Thomas for 27 yards (tackle by Reed Blankenship and Terrell Edmunds). Penalty on Terrell Edmunds: Unnecessary Roughness / Defense, 2 yards (accepted)",3.98,6.97,4.0,2023,59
2,13:13,1.0,1.0,PHI 1,7.0,7.0,Sam Howell pass incomplete short right intended for Jahan Dotson (defended by Brandon Graham),6.97,5.91,4.0,2023,59
2,13:08,2.0,1.0,PHI 1,13.0,7.0,"Brian Robinson left end for no gain. Brian Robinson fumbles (forced by Nicholas Morrow) (tackle by James Bradberry), recovered by Terry McLaurin in end zone, touchdown",5.91,7.0,4.0,2023,59
2,12:56,,,PHI 15,14.0,7.0,Joey Slye kicks extra point good,0.0,0.0,4.0,2023,59
2,12:56,,,WAS 35,14.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,59
2,12:56,1.0,10.0,PHI 25,14.0,7.0,Jalen Hurts pass incomplete short right intended for A.J. Brown,0.61,0.06,4.0,2023,59
2,12:52,2.0,10.0,PHI 25,14.0,7.0,Jalen Hurts pass complete short middle to A.J. Brown for 15 yards (tackle by Emmanuel Forbes and Darrick Forrest),0.06,1.6,4.0,2023,59
2,12:12,1.0,10.0,PHI 40,14.0,7.0,Jalen Hurts pass complete short right to DeVonta Smith for 5 yards (tackle by Benjamin St-Juste),1.6,1.73,4.0,2023,59
2,11:39,2.0,5.0,PHI 45,14.0,7.0,D'Andre Swift up the middle for 4 yards (tackle by Kamren Curl and Jonathan Allen),1.73,1.55,4.0,2023,59
2,11:11,3.0,1.0,PHI 49,14.0,7.0,D'Andre Swift left guard for no gain (tackle by Jamin Davis and Jonathan Allen),1.55,-0.13,4.0,2023,59
2,10:37,4.0,1.0,PHI 49,14.0,7.0,"Jalen Hurts up the middle for no gain (tackle by Cody Barton). Penalty on Landon Dickerson: Offensive Offside, 4 yards (accepted) (no play)",-0.13,-0.39,4.0,2023,59
2,10:21,4.0,5.0,PHI 45,14.0,7.0,"Braden Mann punts 34 yards, fair catch by Jamison Crowder at WAS-21",-0.39,-0.34,4.0,2023,59
2,10:14,1.0,10.0,WAS 21,14.0,7.0,Brian Robinson right guard for no gain (tackle by Jordan Davis and Fletcher Cox),0.34,-0.2,4.0,2023,59
2,9:36,2.0,10.0,WAS 21,14.0,7.0,Sam Howell pass complete short left to Curtis Samuel for 2 yards (tackle by Nicholas Morrow),-0.2,-0.63,4.0,2023,59
2,8:53,3.0,8.0,WAS 23,14.0,7.0,Sam Howell sacked by Nicholas Morrow for -8 yards,-0.63,-2.44,4.0,2023,59
2,8:05,4.0,16.0,WAS 15,14.0,7.0,"Tress Way punts 49 yards, returned by Britain Covey for 7 yards (tackle by Jartavius Martin and David Mayo)",-2.44,-1.8,4.0,2023,59
