Unnamed: 0,WAS,PHI,week,year,game_id
First Downs,26,23,4.0,2023,59
Rush-Yds-TDs,28-107-2,27-104-1,4.0,2023,59
Cmp-Att-Yd-TD-INT,29-41-290-1-0,25-37-319-2-0,4.0,2023,59
Sacked-Yards,5-32,3-8,4.0,2023,59
Net Pass Yards,258,311,4.0,2023,59
Total Yards,365,415,4.0,2023,59
Fumbles-Lost,2-0,1-0,4.0,2023,59
Turnovers,0,0,4.0,2023,59
Penalties-Yards,7-41,11-81,4.0,2023,59
Third Down Conv.,8-17,4-12,4.0,2023,59
Fourth Down Conv.,2-2,2-2,4.0,2023,59
Time of Possession,35:07,30:55,4.0,2023,59
