Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,,4.0,2023,54
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,54
1.0,15:00,1.0,10.0,CIN 25,0.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for 9 yards (tackle by Sean Murphy-Bunting and Denico Autry),0.61,1.28,4.0,2023,54
1.0,14:26,2.0,1.0,CIN 34,0.0,0.0,Joe Burrow scrambles up the middle for 1 yard (tackle by Jack Gibbens),1.28,1.27,4.0,2023,54
1.0,13:42,1.0,10.0,CIN 35,0.0,0.0,Joe Mixon up the middle for 8 yards (tackle by Jeffery Simmons),1.27,1.8,4.0,2023,54
1.0,13:10,2.0,2.0,CIN 43,0.0,0.0,Joe Mixon left guard for 11 yards (tackle by Amani Hooker),1.8,2.52,4.0,2023,54
1.0,12:30,1.0,10.0,TEN 46,0.0,0.0,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Sean Murphy-Bunting and Azeez Al-Shaair),2.52,3.19,4.0,2023,54
1.0,11:49,2.0,1.0,TEN 37,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 17 yards (tackle by Jack Gibbens),3.19,4.24,4.0,2023,54
1.0,11:17,1.0,10.0,TEN 20,0.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 10 yards (tackle by Roger McCreary),4.24,4.91,4.0,2023,54
1.0,10:42,1.0,10.0,TEN 10,0.0,0.0,Joe Mixon left guard for 4 yards (tackle by Jack Gibbens and Azeez Al-Shaair),4.91,4.95,4.0,2023,54
1.0,10:00,2.0,6.0,TEN 6,0.0,0.0,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Amani Hooker),4.95,4.04,4.0,2023,54
1.0,9:56,,,,,,Timeout #1 by Cincinnati Bengals,,,4.0,2023,54
1.0,9:56,3.0,6.0,TEN 6,0.0,0.0,Joe Mixon up the middle for 3 yards (tackle by Azeez Al-Shaair),4.04,3.04,4.0,2023,54
1.0,9:15,4.0,3.0,TEN 3,3.0,0.0,Evan McPherson 21 yard field goal good,3.04,3.0,4.0,2023,54
1.0,9:12,,,CIN 35,3.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,54
1.0,9:12,1.0,10.0,TEN 25,3.0,0.0,Derrick Henry right tackle for 3 yards (tackle by Cam Taylor-Britt and Nick Scott),0.61,0.47,4.0,2023,54
1.0,8:30,2.0,7.0,TEN 28,3.0,0.0,Ryan Tannehill pass complete short right to Tyjae Spears for 6 yards (tackle by Nick Scott),0.47,0.56,4.0,2023,54
1.0,8:06,3.0,1.0,TEN 34,3.0,0.0,Derrick Henry left tackle for 2 yards (tackle by Trey Hendrickson),0.56,1.33,4.0,2023,54
1.0,7:27,1.0,10.0,TEN 36,3.0,0.0,Derrick Henry left end for 11 yards (tackle by Daxton Hill),1.33,2.06,4.0,2023,54
1.0,6:47,1.0,10.0,TEN 47,3.0,0.0,Tyjae Spears right guard for 8 yards (tackle by Chidobe Awuzie),2.06,2.6,4.0,2023,54
1.0,6:10,2.0,2.0,CIN 45,3.0,0.0,Ryan Tannehill pass incomplete deep left intended for DeAndre Hopkins,2.6,1.88,4.0,2023,54
1.0,6:00,3.0,2.0,CIN 45,3.0,0.0,Ryan Tannehill pass incomplete deep left intended for Chris Moore,1.88,0.27,4.0,2023,54
1.0,5:55,4.0,2.0,CIN 45,3.0,0.0,Ryan Tannehill pass complete short middle to Tyjae Spears for 3 yards (tackle by Germaine Pratt),0.27,2.79,4.0,2023,54
1.0,5:15,1.0,10.0,CIN 42,3.0,0.0,Ryan Tannehill scrambles up the middle for 7 yards (tackle by Germaine Pratt),2.79,3.19,4.0,2023,54
1.0,4:37,2.0,3.0,CIN 35,3.0,0.0,Derrick Henry right end for 2 yards (tackle by Logan Wilson),3.19,2.74,4.0,2023,54
1.0,4:12,3.0,1.0,CIN 33,3.0,0.0,Derrick Henry up the middle for 2 yards (tackle by Sam Hubbard),2.74,3.51,4.0,2023,54
1.0,3:31,1.0,10.0,CIN 31,3.0,0.0,Derrick Henry right guard for 1 yard (tackle by Sam Hubbard and Trey Hendrickson),3.51,3.1,4.0,2023,54
1.0,2:49,2.0,9.0,CIN 30,3.0,0.0,Ryan Tannehill pass complete short left to Nick Westbrook-Ikhine for 6 yards (tackle by Mike Hilton),3.1,3.2,4.0,2023,54
1.0,2:08,3.0,3.0,CIN 24,3.0,0.0,Ryan Tannehill sacked by and B.J. Hill for -11 yards and Trey Hendrickson for -11 yards,3.2,0.97,4.0,2023,54
1.0,1:27,4.0,14.0,CIN 35,3.0,3.0,Nick Folk 53 yard field goal good,0.97,3.0,4.0,2023,54
1.0,1:24,,,TEN 35,3.0,3.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,54
1.0,1:24,1.0,10.0,CIN 25,3.0,3.0,Joe Mixon left tackle for 7 yards (tackle by Kristian Fulton),0.61,1.01,4.0,2023,54
1.0,0:47,2.0,3.0,CIN 32,3.0,3.0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,1.01,0.3,4.0,2023,54
1.0,0:43,3.0,3.0,CIN 32,3.0,3.0,"Joe Burrow pass incomplete intended for Tyler Boyd. Penalty on Roger McCreary: Defensive Pass Interference, 2 yards (accepted) (no play)",0.3,1.2,4.0,2023,54
1.0,0:39,1.0,10.0,CIN 34,3.0,3.0,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Kristian Fulton),1.2,0.66,4.0,2023,54
1.0,0:33,2.0,10.0,CIN 34,3.0,3.0,Joe Burrow pass complete short left to Ja'Marr Chase for 12 yards (tackle by Azeez Al-Shaair),0.66,1.99,4.0,2023,54
1.0,0:00,1.0,10.0,CIN 46,3.0,3.0,"Joe Mixon for no gain. Penalty on Arden Key: Defensive Offside, 5 yards (accepted) (no play)",1.99,2.72,4.0,2023,54
