Quarter,Time,Down,ToGo,Location,KAN,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,4.0,2023,63
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,63
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,"Isiah Pacheco up the middle for 4 yards (tackle by C.J. Mosley and Quincy Williams). Penalty on Jermaine Johnson: Unnecessary Roughness / Defense, 15 yards (accepted)",0.61,1.86,4.0,2023,63
1.0,14:34,1.0,10.0,KAN 44,0.0,0.0,Isiah Pacheco left tackle for 2 yards (tackle by John Franklin-Myers),1.86,1.59,4.0,2023,63
1.0,14:04,2.0,8.0,KAN 46,0.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for 16 yards (tackle by D.J. Reed),1.59,3.05,4.0,2023,63
1.0,13:27,1.0,10.0,NYJ 38,0.0,0.0,Patrick Mahomes pass complete short middle to Travis Kelce for 13 yards (tackle by C.J. Mosley),3.05,3.91,4.0,2023,63
1.0,12:50,1.0,10.0,NYJ 25,0.0,0.0,Skyy Moore left end for 8 yards (tackle by D.J. Reed and Michael Carter),3.91,4.55,4.0,2023,63
1.0,12:13,2.0,2.0,NYJ 17,0.0,0.0,Isiah Pacheco up the middle for -1 yards (tackle by Solomon Thomas and D.J. Reed),4.55,3.66,4.0,2023,63
1.0,11:43,3.0,3.0,NYJ 18,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Skyy Moore,3.66,2.35,4.0,2023,63
1.0,11:39,4.0,3.0,NYJ 18,3.0,0.0,Harrison Butker 37 yard field goal good,2.35,3.0,4.0,2023,63
1.0,11:35,,,KAN 35,3.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,63
1.0,11:35,1.0,10.0,NYJ 25,3.0,0.0,Zach Wilson pass incomplete short right intended for Garrett Wilson (defended by Willie Gay),0.61,0.06,4.0,2023,63
1.0,11:29,2.0,10.0,NYJ 25,3.0,0.0,Zach Wilson pass complete short right to Garrett Wilson for 5 yards (tackle by Chamarri Conner),0.06,0.04,4.0,2023,63
1.0,10:51,3.0,5.0,NYJ 30,3.0,0.0,Zach Wilson pass incomplete short right intended for Garrett Wilson,0.04,-1.37,4.0,2023,63
1.0,10:46,4.0,5.0,NYJ 30,3.0,0.0,"Thomas Morstead punts 49 yards, returned by Montrell Washington for 10 yards (tackle by Brandin Echols and Ashtyn Davis)",-1.37,-1.2,4.0,2023,63
1.0,10:35,1.0,10.0,KAN 34,3.0,0.0,Patrick Mahomes pass incomplete deep left intended for Noah Gray (defended by Quincy Williams),1.2,0.46,4.0,2023,63
1.0,10:00,2.0,10.0,KAN 31,3.0,0.0,Patrick Mahomes scrambles left end for 12 yards (tackle by D.J. Reed),0.46,1.8,4.0,2023,63
