Quarter,Time,Tm,Detail,LAR,IND,week,year,game_id
1,11:35,Rams,Kyren Williams 3 yard rush (Brett Maher kick),7,0,4.0,2023,56
,3:40,Rams,Kyren Williams 3 yard rush (Brett Maher kick),14,0,4.0,2023,56
2,12:52,Rams,Brett Maher 40 yard field goal,17,0,4.0,2023,56
,5:48,Rams,Brett Maher 54 yard field goal,20,0,4.0,2023,56
3,7:17,Rams,Brett Maher 51 yard field goal,23,0,4.0,2023,56
,5:17,Colts,Mo Alie-Cox 35 yard pass from Anthony Richardson (Zack Moss pass from Anthony Richardson),23,8,4.0,2023,56
4,11:45,Colts,Anthony Richardson 1 yard rush (Matt Gay kick),23,15,4.0,2023,56
,1:56,Colts,Andrew Ogletree 5 yard pass from Anthony Richardson (Michael Pittman Jr. pass from Anthony Richardson),23,23,4.0,2023,56
OT,5:49,Rams,Puka Nacua 22 yard pass from Matthew Stafford,29,23,4.0,2023,56
