Quarter,Time,Down,ToGo,Location,SEA,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Giants to receive the opening kickoff.",,,4.0,2023,64
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 64 yards,",0.0,0.61,4.0,2023,64
1.0,15:00,1.0,10.0,NYG 25,0.0,0.0,Matt Breida right guard for 5 yards (tackle by Jarran Reed),0.61,0.74,4.0,2023,64
1.0,14:25,2.0,5.0,NYG 30,0.0,0.0,Wan'Dale Robinson right end for 7 yards (tackle by Julian Love),0.74,1.4,4.0,2023,64
1.0,13:49,1.0,10.0,NYG 37,0.0,0.0,Daniel Jones pass complete short left to Daniel Bellinger for 6 yards (tackle by Devon Witherspoon and Bobby Wagner),1.4,1.67,4.0,2023,64
1.0,13:11,2.0,4.0,NYG 43,0.0,0.0,Matt Breida left guard for 5 yards (tackle by Julian Love and Jordyn Brooks),1.67,2.13,4.0,2023,64
1.0,12:33,1.0,10.0,NYG 48,0.0,0.0,Daniel Jones pass complete short right to Parris Campbell for 2 yards (tackle by Jamal Adams),2.13,1.85,4.0,2023,64
1.0,11:55,2.0,8.0,NYG 50,0.0,0.0,Matt Breida right end for 2 yards (tackle by Jarran Reed),1.85,1.42,4.0,2023,64
1.0,11:29,3.0,6.0,SEA 48,0.0,0.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 12 yards (tackle by Riq Woolen),1.42,3.18,4.0,2023,64
1.0,10:54,1.0,10.0,SEA 36,0.0,0.0,Daniel Jones sacked by Jordyn Brooks for -1 yards,3.18,2.5,4.0,2023,64
1.0,10:08,2.0,11.0,SEA 37,0.0,0.0,Daniel Jones scrambles right end for 8 yards (tackle by Jamal Adams),2.5,2.87,4.0,2023,64
1.0,9:46,3.0,3.0,SEA 29,0.0,0.0,Gary Brightwell left guard for 2 yards (tackle by Bobby Wagner and Jordyn Brooks),2.87,1.82,4.0,2023,64
1.0,9:06,4.0,1.0,SEA 27,0.0,0.0,Daniel Jones up the middle for no gain (tackle by Bobby Wagner and Jordyn Brooks),1.82,-0.74,4.0,2023,64
1.0,8:45,1.0,10.0,SEA 27,0.0,0.0,"Kenneth Walker for no gain, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Kenneth Walker right end for -2 yards (tackle by Bobby Okereke)",0.74,-0.07,4.0,2023,64
1.0,8:38,2.0,12.0,SEA 25,0.0,0.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for no gain (tackle by Xavier McKinney),-0.07,-0.76,4.0,2023,64
1.0,8:07,3.0,12.0,SEA 25,0.0,0.0,Geno Smith sacked by Kayvon Thibodeaux for -5 yards,-0.76,-2.03,4.0,2023,64
1.0,7:29,4.0,17.0,SEA 20,0.0,0.0,"Michael Dickson punts 45 yards, recovered by Nick McCloud at NYG-35",-2.03,-1.14,4.0,2023,64
1.0,7:14,1.0,10.0,NYG 33,0.0,0.0,Daniel Jones scrambles left end for 16 yards (tackle by Julian Love and Riq Woolen),1.14,2.19,4.0,2023,64
1.0,6:30,1.0,10.0,NYG 49,0.0,0.0,Daniel Jones pass complete short right to Darren Waller for 5 yards (tackle by Michael Jackson and Derick Hall),2.19,2.32,4.0,2023,64
1.0,6:00,2.0,5.0,SEA 46,0.0,0.0,Daniel Jones sacked by Devon Witherspoon for -6 yards,2.32,0.83,4.0,2023,64
1.0,5:36,3.0,11.0,NYG 48,0.0,0.0,Daniel Jones pass incomplete short middle intended for Darius Slayton,0.83,-0.19,4.0,2023,64
1.0,5:26,4.0,11.0,NYG 48,0.0,0.0,"Jamie Gillan punts 52 yards, touchback.",-0.19,-0.28,4.0,2023,64
1.0,5:17,1.0,10.0,SEA 20,0.0,0.0,Geno Smith pass complete short right to Noah Fant for 12 yards (tackle by Jason Pinnock),0.28,1.07,4.0,2023,64
1.0,4:42,1.0,10.0,SEA 32,0.0,0.0,"Geno Smith pass incomplete deep left intended for Tyler Lockett (defended by Adoree' Jackson). Penalty on Phil Haynes: Offensive Holding, 10 yards (offset) . Penalty on Adoree' Jackson: Defensive Pass Interference, 15 yards (offset) (no play)",1.07,1.07,4.0,2023,64
1.0,4:35,1.0,10.0,SEA 32,0.0,0.0,"Kenneth Walker left end for no gain (tackle by Adoree' Jackson). Penalty on Anthony Bradford: Offensive Holding, 10 yards (accepted) (no play)",1.07,0.41,4.0,2023,64
1.0,3:50,1.0,20.0,SEA 22,0.0,0.0,"Penalty on Evan Brown: False Start, 4 yards (accepted) (no play)",0.41,-0.07,4.0,2023,64
