Unnamed: 0,BAL,CLE,week,year,game_id
First Downs,16,13,4.0,2023,55
Rush-Yds-TDs,33-131-2,25-93-0,4.0,2023,55
Cmp-Att-Yd-TD-INT,15-19-186-2-0,19-36-121-0-3,4.0,2023,55
Sacked-Yards,3-21,4-48,4.0,2023,55
Net Pass Yards,165,73,4.0,2023,55
Total Yards,296,166,4.0,2023,55
Fumbles-Lost,2-1,1-0,4.0,2023,55
Turnovers,1,3,4.0,2023,55
Penalties-Yards,8-92,7-42,4.0,2023,55
Third Down Conv.,4-12,4-16,4.0,2023,55
Fourth Down Conv.,1-1,1-1,4.0,2023,55
Time of Possession,29:50,30:10,4.0,2023,55
