Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Cody Mauch,G,71,100%,0,0%,4,15%,0,Buccaneers,4.0,2023,58
Tristan Wirfs,T,71,100%,0,0%,4,15%,0,Buccaneers,4.0,2023,58
Luke Goedeke,G,71,100%,0,0%,4,15%,0,Buccaneers,4.0,2023,58
Matt Feiler,G,71,100%,0,0%,4,15%,0,Buccaneers,4.0,2023,58
Baker Mayfield,QB,71,100%,0,0%,0,0%,0,Buccaneers,4.0,2023,58
Cade Otton,TE,71,100%,0,0%,0,0%,0,Buccaneers,4.0,2023,58
Robert Hainsey,C,71,100%,0,0%,0,0%,0,Buccaneers,4.0,2023,58
Trey Palmer,WR,53,75%,0,0%,0,0%,0,Buccaneers,4.0,2023,58
Chris Godwin,WR,53,75%,0,0%,0,0%,0,Buccaneers,4.0,2023,58
Rachaad White,RB,50,70%,0,0%,0,0%,0,Buccaneers,4.0,2023,58
Deven Thompkins,WR,45,63%,0,0%,8,31%,0,Buccaneers,4.0,2023,58
Mike Evans,WR,26,37%,0,0%,0,0%,0,Buccaneers,4.0,2023,58
Ke'Shawn Vaughn,RB,21,30%,0,0%,8,31%,0,Buccaneers,4.0,2023,58
Ko Kieft,TE,15,21%,0,0%,19,73%,0,Buccaneers,4.0,2023,58
Rakim Jarrett,WR,13,18%,0,0%,18,69%,0,Buccaneers,4.0,2023,58
David Wells,TE,8,11%,0,0%,4,15%,0,Buccaneers,4.0,2023,58
Zyon McCollum,CB,0,0%,65,100%,10,38%,0,Buccaneers,4.0,2023,58
Devin White,LB,0,0%,65,100%,1,4%,0,Buccaneers,4.0,2023,58
Carlton Davis,CB,0,0%,65,100%,1,4%,0,Buccaneers,4.0,2023,58
Lavonte David,LB,0,0%,65,100%,1,4%,0,Buccaneers,4.0,2023,58
Antoine Winfield Jr.,FS,0,0%,65,100%,0,0%,0,Buccaneers,4.0,2023,58
Dee Delaney,CB,0,0%,63,97%,9,35%,0,Buccaneers,4.0,2023,58
Christian Izien,SS,0,0%,47,72%,9,35%,0,Buccaneers,4.0,2023,58
Vita Vea,NT,0,0%,44,68%,1,4%,0,Buccaneers,4.0,2023,58
Shaquil Barrett,LB,0,0%,43,66%,1,4%,0,Buccaneers,4.0,2023,58
Joe Tryon-Shoyinka,LB,0,0%,43,66%,1,4%,0,Buccaneers,4.0,2023,58
Logan Hall,DE,0,0%,41,63%,1,4%,0,Buccaneers,4.0,2023,58
Greg Gaines,NT,0,0%,25,38%,0,0%,0,Buccaneers,4.0,2023,58
Mike Greene,DT,0,0%,24,37%,3,12%,0,Buccaneers,4.0,2023,58
YaYa Diaby,LB,0,0%,21,32%,6,23%,0,Buccaneers,4.0,2023,58
Anthony Nelson,LB,0,0%,21,32%,4,15%,0,Buccaneers,4.0,2023,58
William Gholston,DE,0,0%,14,22%,7,27%,0,Buccaneers,4.0,2023,58
Cam Gill,LB,0,0%,2,3%,21,81%,0,Buccaneers,4.0,2023,58
Ryan Neal,SS,0,0%,2,3%,1,4%,0,Buccaneers,4.0,2023,58
K.J. Britt,LB,0,0%,0,0%,21,81%,0,Buccaneers,4.0,2023,58
J.J. Russell,LB,0,0%,0,0%,21,81%,0,Buccaneers,4.0,2023,58
Josh Hayes,CB,0,0%,0,0%,21,81%,0,Buccaneers,4.0,2023,58
Kaevon Merriweather,FS,0,0%,0,0%,18,69%,0,Buccaneers,4.0,2023,58
Jake Camarda,P,0,0%,0,0%,15,58%,0,Buccaneers,4.0,2023,58
Keenan Isaac,CB,0,0%,0,0%,11,42%,0,Buccaneers,4.0,2023,58
Zach Triner,LS,0,0%,0,0%,9,35%,0,Buccaneers,4.0,2023,58
Sean Tucker,RB,0,0%,0,0%,9,35%,0,Buccaneers,4.0,2023,58
Justin Skule,T,0,0%,0,0%,4,15%,0,Buccaneers,4.0,2023,58
Chase McLaughlin,K,0,0%,0,0%,4,15%,0,Buccaneers,4.0,2023,58
Pat O'Connor,DE,0,0%,0,0%,3,12%,0,Buccaneers,4.0,2023,58
