Unnamed: 0,ATL,JAX,week,year,game_id
First Downs,17,16,4.0,2023,50
Rush-Yds-TDs,22-127-0,32-105-0,4.0,2023,50
Cmp-Att-Yd-TD-INT,19-31-191-1-2,23-30-207-1-0,4.0,2023,50
Sacked-Yards,4-31,2-12,4.0,2023,50
Net Pass Yards,160,195,4.0,2023,50
Total Yards,287,300,4.0,2023,50
Fumbles-Lost,1-1,2-0,4.0,2023,50
Turnovers,3,0,4.0,2023,50
Penalties-Yards,3-50,3-25,4.0,2023,50
Third Down Conv.,6-12,5-14,4.0,2023,50
Fourth Down Conv.,0-1,1-2,4.0,2023,50
Time of Possession,27:09,32:51,4.0,2023,50
