Unnamed: 0,MIA,BUF,week,year,game_id
First Downs,20,24,4.0,2023,51
Rush-Yds-TDs,19-142-2,29-104-2,4.0,2023,51
Cmp-Att-Yd-TD-INT,25-35-282-1-1,21-25-320-4-0,4.0,2023,51
Sacked-Yards,4-31,2-10,4.0,2023,51
Net Pass Yards,251,310,4.0,2023,51
Total Yards,393,414,4.0,2023,51
Fumbles-Lost,4-1,0-0,4.0,2023,51
Turnovers,2,0,4.0,2023,51
Penalties-Yards,8-98,4-20,4.0,2023,51
Third Down Conv.,3-10,5-10,4.0,2023,51
Fourth Down Conv.,0-3,0-0,4.0,2023,51
Time of Possession,29:38,30:22,4.0,2023,51
