Unnamed: 0,NWE,DAL,week,year,game_id
First Downs,10,22,4.0,2023,62
Rush-Yds-TDs,23-53-0,30-124-1,4.0,2023,62
Cmp-Att-Yd-TD-INT,16-30-207-0-2,30-36-281-1-0,4.0,2023,62
Sacked-Yards,2-7,3-28,4.0,2023,62
Net Pass Yards,200,253,4.0,2023,62
Total Yards,253,377,4.0,2023,62
Fumbles-Lost,1-1,2-0,4.0,2023,62
Turnovers,3,0,4.0,2023,62
Penalties-Yards,6-50,5-32,4.0,2023,62
Third Down Conv.,4-13,8-15,4.0,2023,62
Fourth Down Conv.,0-2,0-1,4.0,2023,62
Time of Possession,24:51,35:09,4.0,2023,62
