Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Chargers to receive the opening kickoff.",,,4.0,2023,60
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 66 yards, returned by Derius Davis for 15 yards (tackle by Kana'i Mauga)",0.0,-0.28,4.0,2023,60
1.0,14:53,1.0,10.0,LAC 14,0.0,0.0,Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by John Jenkins),-0.28,-0.75,4.0,2023,60
1.0,14:50,2.0,10.0,LAC 14,0.0,0.0,Derius Davis right end for 51 yards (tackle by Tre'von Moehrig),-0.75,3.25,4.0,2023,60
1.0,14:04,1.0,10.0,LVR 35,0.0,0.0,Justin Herbert pass incomplete deep left intended for Stone Smartt,3.25,2.7,4.0,2023,60
1.0,13:58,2.0,10.0,LVR 35,0.0,0.0,Joshua Kelley up the middle for 11 yards (tackle by Tre'von Moehrig),2.7,3.97,4.0,2023,60
1.0,13:23,1.0,10.0,LVR 24,0.0,0.0,Joshua Kelley right tackle for no gain (tackle by Tyree Wilson and Marcus Epps),3.97,3.43,4.0,2023,60
1.0,12:49,2.0,10.0,LVR 24,0.0,0.0,Justin Herbert pass complete short left to Derius Davis for 5 yards (tackle by David Long),3.43,3.41,4.0,2023,60
1.0,12:13,3.0,5.0,LVR 19,0.0,0.0,"Justin Herbert sacked by Maxx Crosby for no gain. Justin Herbert fumbles (forced by Maxx Crosby), recovered by Trey Pipkins at LV-26 (tackle by Maxx Crosby). Penalty on David Long: Defensive Offside, 5 yards (accepted) (no play)",3.41,4.65,4.0,2023,60
1.0,12:03,1.0,10.0,LVR 14,0.0,0.0,Justin Herbert right end for 1 yard (tackle by Isaac Rochell),4.65,4.16,4.0,2023,60
1.0,11:23,2.0,9.0,LVR 13,0.0,0.0,Isaiah Spiller right tackle for 1 yard (tackle by Isaac Rochell),4.16,3.43,4.0,2023,60
1.0,10:44,3.0,8.0,LVR 12,0.0,6.0,"Justin Herbert scrambles right end for 12 yards, touchdown",3.43,7.0,4.0,2023,60
1.0,10:38,,,LVR 15,0.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,4.0,2023,60
1.0,10:38,,,LAC 35,0.0,7.0,"Cameron Dicker kicks off 65 yards,",0.0,0.61,4.0,2023,60
1.0,10:38,1.0,10.0,LVR 25,0.0,7.0,Josh Jacobs left guard for 5 yards (tackle by Nick Williams),0.61,0.74,4.0,2023,60
1.0,10:00,2.0,5.0,LVR 30,0.0,7.0,Josh Jacobs right tackle for -2 yards (tackle by Khalil Mack),0.74,-0.23,4.0,2023,60
1.0,9:22,3.0,7.0,LVR 28,0.0,7.0,Aidan O'Connell sacked by Khalil Mack for -7 yards,-0.23,-1.96,4.0,2023,60
1.0,9:08,4.0,14.0,LVR 21,0.0,7.0,AJ Cole punts 61 yards,-1.96,-0.04,4.0,2023,60
1.0,8:35,1.0,10.0,LAC 18,0.0,7.0,Isaiah Spiller left tackle for no gain (tackle by Maxx Crosby and Divine Deablo),0.04,-0.32,4.0,2023,60
1.0,7:52,2.0,9.0,LAC 19,0.0,7.0,Joshua Kelley up the middle for 22 yards (tackle by Jakorian Bennett),-0.32,1.6,4.0,2023,60
1.0,7:08,1.0,10.0,LAC 40,0.0,7.0,Joshua Kelley right end for -5 yards (tackle by Amik Robertson),1.6,0.38,4.0,2023,60
1.0,6:20,2.0,15.0,LAC 35,0.0,7.0,Justin Herbert pass complete short middle to Gerald Everett for 6 yards (tackle by Tre'von Moehrig),0.38,0.5,4.0,2023,60
1.0,5:42,3.0,9.0,LAC 41,0.0,7.0,Justin Herbert pass incomplete short right intended for Josh Palmer,0.5,-0.65,4.0,2023,60
1.0,5:40,4.0,9.0,LAC 41,0.0,7.0,JK Scott punts 23 yards downed by Amen Ogbongbemiga,-0.65,-1.33,4.0,2023,60
1.0,5:30,1.0,10.0,LVR 36,0.0,7.0,Aidan O'Connell pass complete short middle to Josh Jacobs for 7 yards (tackle by Ja'Sir Taylor and Kenneth Murray),1.33,1.74,4.0,2023,60
1.0,4:57,2.0,3.0,LVR 43,0.0,7.0,Josh Jacobs right tackle for 5 yards (tackle by Sebastian Joseph-Day),1.74,2.13,4.0,2023,60
1.0,4:14,1.0,10.0,LVR 48,0.0,7.0,Aidan O'Connell pass complete deep right to Jakobi Meyers for 25 yards (tackle by Eric Kendricks),2.13,3.78,4.0,2023,60
1.0,3:33,1.0,10.0,LAC 27,0.0,7.0,Josh Jacobs right guard for 4 yards (tackle by Morgan Fox and Eric Kendricks),3.78,3.77,4.0,2023,60
1.0,2:50,2.0,6.0,LAC 23,0.0,7.0,"Penalty on Jermaine Eluemunor: False Start, 5 yards (accepted) (no play)",3.77,3.1,4.0,2023,60
1.0,2:26,2.0,11.0,LAC 28,0.0,7.0,"Aidan O'Connell pass incomplete deep right intended for Davante Adams. Penalty on Michael Davis: Defensive Pass Interference, 9 yards (accepted) (no play)",3.1,4.31,4.0,2023,60
1.0,2:21,1.0,10.0,LAC 19,0.0,7.0,Aidan O'Connell pass complete short left to Josh Jacobs for 6 yards (tackle by Asante Samuel),4.31,4.72,4.0,2023,60
1.0,1:42,2.0,4.0,LAC 13,0.0,7.0,Josh Jacobs left tackle for 5 yards (tackle by Michael Davis),4.72,5.37,4.0,2023,60
1.0,0:56,1.0,8.0,LAC 8,0.0,7.0,"Josh Jacobs for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Josh Jacobs up the middle for 7 yards (tackle by Dean Marlowe)",5.37,5.91,4.0,2023,60
1.0,0:48,2.0,1.0,LAC 1,6.0,7.0,"Aidan O'Connell up the middle for 1 yard, touchdown",5.91,7.0,4.0,2023,60
1.0,0:45,,,LAC 15,7.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,4.0,2023,60
1.0,0:45,,,LVR 35,7.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,60
1.0,0:45,1.0,10.0,LAC 25,7.0,7.0,Joshua Kelley up the middle for 2 yards (tackle by John Jenkins and Robert Spillane),0.61,0.33,4.0,2023,60
1.0,0:12,2.0,8.0,LAC 27,7.0,7.0,Justin Herbert pass complete short left to Josh Palmer for 7 yards (tackle by David Long),0.33,0.56,4.0,2023,60
2.0,15:00,3.0,1.0,LAC 34,7.0,7.0,"Justin Herbert pass incomplete intended for Quentin Johnston LAC challenged the pass completion ruling, and the original play was overturned. Justin Herbert pass complete deep right to Quentin Johnston for 18 yards (tackle by Marcus Peters)",0.56,2.39,4.0,2023,60
2.0,14:32,1.0,10.0,LVR 48,7.0,7.0,Justin Herbert pass complete short right to Isaiah Spiller for 5 yards (tackle by Nesta Jade Silvera),2.39,2.52,4.0,2023,60
2.0,13:56,2.0,5.0,LVR 43,7.0,7.0,Joshua Kelley left tackle for 1 yard (tackle by Maxx Crosby),2.52,1.95,4.0,2023,60
2.0,13:15,3.0,4.0,LVR 42,7.0,7.0,Justin Herbert pass complete short right to Keenan Allen for 22 yards (tackle by Tre'von Moehrig),1.95,4.24,4.0,2023,60
2.0,13:00,1.0,10.0,LVR 20,7.0,7.0,Justin Herbert pass complete short left to Keenan Allen for 3 yards (tackle by David Long),4.24,4.12,4.0,2023,60
2.0,12:17,2.0,7.0,LVR 17,7.0,7.0,Justin Herbert pass complete short right to Isaiah Spiller for 10 yards (tackle by Amik Robertson),4.12,5.6,4.0,2023,60
