Quarter,Time,Tm,Detail,TAM,NOR,week,year,game_id
1.0,9:20,Saints,Blake Grupe 37 yard field goal,0,3,4.0,2023,58
2.0,5:19,Buccaneers,Cade Otton 4 yard pass from Baker Mayfield (Chase McLaughlin kick),7,3,4.0,2023,58
,0:19,Buccaneers,Trey Palmer 1 yard pass from Baker Mayfield (Chase McLaughlin kick),14,3,4.0,2023,58
3.0,0:49,Saints,Blake Grupe 32 yard field goal,14,6,4.0,2023,58
4.0,13:31,Buccaneers,Chase McLaughlin 51 yard field goal,17,6,4.0,2023,58
,8:29,Saints,Blake Grupe 44 yard field goal,17,9,4.0,2023,58
,3:44,Buccaneers,Deven Thompkins 5 yard pass from Baker Mayfield (pass failed),23,9,4.0,2023,58
,2:24,Buccaneers,Chase McLaughlin 28 yard field goal,26,9,4.0,2023,58
