Quarter,Time,Down,ToGo,Location,TAM,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Saints to receive the opening kickoff.",,,4.0,2023,58
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 62 yards, returned by Rashid Shaheed for 22 yards (tackle by Ryan Neal)",0.0,0.61,4.0,2023,58
1.0,14:56,1.0,10.0,NOR 25,0.0,0.0,Derek Carr pass complete short right to Alvin Kamara for no gain (tackle by Lavonte David and Antoine Winfield),0.61,0.06,4.0,2023,58
1.0,14:22,2.0,10.0,NOR 25,0.0,0.0,Derek Carr pass complete short left to Rashid Shaheed for 12 yards (tackle by Ryan Neal),0.06,1.4,4.0,2023,58
1.0,14:05,1.0,10.0,NOR 37,0.0,0.0,Taysom Hill pass complete short right to Michael Thomas for 13 yards (tackle by Carlton Davis),1.4,2.26,4.0,2023,58
1.0,13:18,1.0,10.0,TAM 50,0.0,0.0,Alvin Kamara left tackle for 5 yards (tackle by Devin White),2.26,2.32,4.0,2023,58
1.0,12:48,2.0,6.0,TAM 45,0.0,0.0,Alvin Kamara right guard for 4 yards (tackle by Shaquil Barrett),2.32,2.21,4.0,2023,58
1.0,12:11,3.0,1.0,TAM 41,0.0,0.0,Derek Carr pass incomplete deep right intended for Rashid Shaheed,2.21,0.53,4.0,2023,58
1.0,12:05,4.0,1.0,TAM 41,0.0,0.0,Taysom Hill up the middle for 2 yards (tackle by Lavonte David and Joe Tryon-Shoyinka),0.53,2.98,4.0,2023,58
1.0,11:31,1.0,10.0,TAM 39,0.0,0.0,"Derek Carr pass incomplete. Penalty on Mike Greene: Roughing the Passer, 15 yards (accepted) (no play)",2.98,3.97,4.0,2023,58
1.0,11:27,1.0,10.0,TAM 24,0.0,0.0,Derek Carr pass complete short right to Alvin Kamara for 5 yards (tackle by Greg Gaines and Anthony Nelson),3.97,4.12,4.0,2023,58
1.0,10:49,2.0,5.0,TAM 19,0.0,0.0,Derek Carr pass complete short middle to Alvin Kamara for -7 yards (tackle by YaYa Diaby),4.12,2.48,4.0,2023,58
1.0,10:03,3.0,12.0,TAM 26,0.0,0.0,Derek Carr pass complete short right to Taysom Hill for 7 yards (tackle by Shaquil Barrett),2.48,2.24,4.0,2023,58
1.0,9:23,4.0,5.0,TAM 19,0.0,3.0,Blake Grupe 37 yard field goal good,2.24,3.0,4.0,2023,58
1.0,9:20,,,NOR 35,0.0,3.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,58
1.0,9:20,1.0,10.0,TAM 25,0.0,3.0,Baker Mayfield pass complete deep left to Mike Evans for 18 yards (tackle by Marshon Lattimore),0.61,1.8,4.0,2023,58
1.0,8:43,1.0,10.0,TAM 43,0.0,3.0,Rachaad White right tackle for 4 yards (tackle by Zack Baun),1.8,1.79,4.0,2023,58
1.0,8:16,2.0,6.0,TAM 47,0.0,3.0,Baker Mayfield pass complete short right to Chris Godwin for 5 yards (tackle by Zack Baun),1.79,1.75,4.0,2023,58
1.0,7:43,,,,,,Timeout #1 by New Orleans Saints,,,4.0,2023,58
1.0,7:43,3.0,1.0,NOR 48,0.0,3.0,"Penalty on Cade Otton: False Start, 5 yards (accepted) (no play)",1.75,1.09,4.0,2023,58
1.0,7:43,3.0,6.0,TAM 47,0.0,3.0,Baker Mayfield scrambles up the middle for 6 yards (tackle by Pete Werner),1.09,2.46,4.0,2023,58
1.0,7:05,1.0,10.0,NOR 47,0.0,3.0,"Baker Mayfield pass incomplete short right. Penalty on Baker Mayfield: Intentional Grounding, 12 yards (accepted)",2.46,0.29,4.0,2023,58
1.0,6:58,2.0,22.0,TAM 41,0.0,3.0,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Pete Werner and Malcolm Roach),0.29,0.43,4.0,2023,58
1.0,6:13,3.0,16.0,TAM 47,0.0,3.0,Baker Mayfield pass complete short right to Rachaad White for 10 yards (tackle by Marshon Lattimore),0.43,0.4,4.0,2023,58
1.0,5:27,4.0,6.0,NOR 43,0.0,3.0,Jake Camarda punts 27 yards out of bounds,0.4,0.14,4.0,2023,58
1.0,5:20,1.0,10.0,NOR 16,0.0,3.0,Derek Carr pass incomplete deep left intended for Michael Thomas,-0.14,-0.66,4.0,2023,58
1.0,5:15,2.0,10.0,NOR 16,0.0,3.0,Taysom Hill left tackle for 1 yard (tackle by Antoine Winfield),-0.66,-1.2,4.0,2023,58
1.0,4:38,3.0,9.0,NOR 17,0.0,3.0,Derek Carr pass incomplete short left intended for Adam Prentice,-1.2,-2.32,4.0,2023,58
1.0,4:24,4.0,9.0,NOR 17,0.0,3.0,"Lou Hedley punts 36 yards, fair catch by Deven Thompkins at TB-47. Penalty on J.J. Russell: Offensive Holding, 10 yards (accepted)",-2.32,-1.4,4.0,2023,58
1.0,4:24,1.0,10.0,TAM 37,0.0,3.0,Rachaad White right guard for 3 yards (tackle by Nathan Shepherd and Khalen Saunders),1.4,1.26,4.0,2023,58
1.0,3:53,2.0,7.0,TAM 40,0.0,3.0,Baker Mayfield pass incomplete deep right intended for Chris Godwin,1.26,0.56,4.0,2023,58
1.0,3:46,3.0,7.0,TAM 40,0.0,3.0,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Lonnie Johnson),0.56,-0.72,4.0,2023,58
1.0,3:41,4.0,7.0,TAM 40,0.0,3.0,"Jake Camarda punts 41 yards, fair catch by Rashid Shaheed at NO-19",-0.72,-0.15,4.0,2023,58
1.0,3:34,1.0,10.0,NOR 19,0.0,3.0,Derek Carr pass incomplete short left intended for Rashid Shaheed,0.15,-0.39,4.0,2023,58
1.0,3:30,2.0,10.0,NOR 19,0.0,3.0,Alvin Kamara right guard for 3 yards (tackle by YaYa Diaby),-0.39,-0.68,4.0,2023,58
1.0,2:58,3.0,7.0,NOR 22,0.0,3.0,Derek Carr pass complete short left to Alvin Kamara for 10 yards (tackle by Christian Izien),-0.68,1.07,4.0,2023,58
1.0,2:16,1.0,10.0,NOR 32,0.0,3.0,"Taysom Hill scrambles right end for no gain (tackle by Anthony Nelson). Penalty on James Hurst: Offensive Holding, 10 yards (accepted) (no play)",1.07,0.41,4.0,2023,58
1.0,1:59,1.0,20.0,NOR 22,0.0,3.0,Derek Carr pass complete short right to Alvin Kamara for 8 yards (tackle by Lavonte David and Vita Vea),0.41,0.26,4.0,2023,58
1.0,1:22,2.0,12.0,NOR 30,0.0,3.0,"Penalty on YaYa Diaby: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.26,0.93,4.0,2023,58
1.0,1:18,2.0,7.0,NOR 35,0.0,3.0,Derek Carr pass complete short left to Rashid Shaheed for 11 yards (tackle by Zyon McCollum),0.93,1.99,4.0,2023,58
1.0,0:43,1.0,10.0,NOR 46,0.0,3.0,Derek Carr pass complete short right to Alvin Kamara for no gain (tackle by Shaquil Barrett),1.99,1.45,4.0,2023,58
2.0,15:00,2.0,10.0,NOR 46,0.0,3.0,Derek Carr pass complete short right to Kendre Miller for 5 yards (tackle by Dee Delaney),1.45,1.42,4.0,2023,58
2.0,14:23,3.0,5.0,TAM 49,0.0,3.0,Derek Carr pass incomplete deep left intended for Rashid Shaheed,1.42,0.0,4.0,2023,58
2.0,14:17,4.0,5.0,TAM 49,0.0,3.0,"Lou Hedley punts 36 yards, fair catch by Deven Thompkins at TB-13",0.0,0.32,4.0,2023,58
2.0,14:10,1.0,10.0,TAM 13,0.0,3.0,Baker Mayfield pass complete short middle to Ke'Shawn Vaughn for 3 yards (tackle by Pete Werner),-0.32,-0.44,4.0,2023,58
2.0,13:44,2.0,7.0,TAM 16,0.0,3.0,Baker Mayfield pass complete short left to Chris Godwin for 9 yards (tackle by Demario Davis and Alontae Taylor),-0.44,0.61,4.0,2023,58
2.0,13:08,1.0,10.0,TAM 25,0.0,3.0,Deven Thompkins left end for 11 yards (tackle by Isaiah Foskey and Tyrann Mathieu),0.61,1.33,4.0,2023,58
2.0,12:36,1.0,10.0,TAM 36,0.0,3.0,Ke'Shawn Vaughn right guard for 5 yards (tackle by Malcolm Roach and Pete Werner),1.33,1.47,4.0,2023,58
2.0,12:00,2.0,5.0,TAM 41,0.0,3.0,Baker Mayfield pass complete short right to Chris Godwin for 5 yards (tackle by Isaac Yiadom),1.47,1.99,4.0,2023,58
2.0,11:21,1.0,10.0,TAM 46,0.0,3.0,Baker Mayfield pass complete deep left to Mike Evans for 18 yards (tackle by Marshon Lattimore),1.99,3.18,4.0,2023,58
2.0,10:48,1.0,10.0,NOR 36,0.0,3.0,Baker Mayfield pass complete short middle to Rakim Jarrett for 3 yards (tackle by Carl Granderson and Isaac Yiadom),3.18,3.04,4.0,2023,58
2.0,10:07,2.0,7.0,NOR 33,0.0,3.0,Chris Godwin pass incomplete deep right intended for Trey Palmer (defended by Isaac Yiadom),3.04,2.35,4.0,2023,58
2.0,10:00,3.0,7.0,NOR 33,0.0,3.0,Baker Mayfield scrambles left end for 7 yards (tackle by Carl Granderson),2.35,3.84,4.0,2023,58
2.0,9:20,1.0,10.0,NOR 26,0.0,3.0,Rachaad White right guard for -3 yards (tackle by Bryan Bresee),3.84,2.89,4.0,2023,58
2.0,8:42,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,4.0,2023,58
2.0,8:42,2.0,13.0,NOR 29,0.0,3.0,Baker Mayfield pass complete short left to Deven Thompkins for 6 yards (tackle by Marshon Lattimore),2.89,3.01,4.0,2023,58
2.0,8:03,3.0,7.0,NOR 23,0.0,3.0,"Baker Mayfield pass incomplete deep right intended for Mike Evans. Penalty on Marshon Lattimore: Defensive Pass Interference, 8 yards (accepted) (no play)",3.01,4.58,4.0,2023,58
2.0,7:58,1.0,10.0,NOR 15,0.0,3.0,Rachaad White left tackle for 1 yard (tackle by Pete Werner and Cameron Jordan),4.58,4.11,4.0,2023,58
2.0,7:24,2.0,9.0,NOR 14,0.0,3.0,Baker Mayfield pass complete short middle to Chris Godwin for 1 yard (tackle by Cameron Jordan),4.11,3.4,4.0,2023,58
2.0,6:40,3.0,8.0,NOR 13,0.0,3.0,Baker Mayfield pass complete short right to Rachaad White for 11 yards (tackle by Demario Davis),3.4,6.91,4.0,2023,58
2.0,6:10,1.0,1.0,NOR 2,0.0,3.0,Baker Mayfield pass incomplete short right,6.91,5.72,4.0,2023,58
2.0,6:02,2.0,2.0,NOR 2,0.0,3.0,Ke'Shawn Vaughn right guard for -2 yards (tackle by Malcolm Roach),5.72,4.49,4.0,2023,58
2.0,5:25,3.0,4.0,NOR 4,6.0,3.0,"Baker Mayfield pass complete short middle to Cade Otton for 4 yards, touchdown",4.49,7.0,4.0,2023,58
2.0,5:19,1.0,1.0,NOR 1,7.0,3.0,Chase McLaughlin kicks extra point good,0.0,0.0,4.0,2023,58
2.0,5:19,,,TAM 35,7.0,3.0,"Penalty on Nathan Shepherd: Roughing the Passer, 15 yards (accepted)",0.0,0.0,4.0,2023,58
2.0,5:19,,,TAM 50,7.0,3.0,"Jake Camarda kicks off 38 yards,",0.0,0.61,4.0,2023,58
2.0,5:19,1.0,10.0,NOR 25,7.0,3.0,Alvin Kamara right tackle for 3 yards (tackle by William Gholston),0.61,0.47,4.0,2023,58
2.0,4:49,2.0,7.0,NOR 28,7.0,3.0,Derek Carr pass incomplete short left intended for Chris Olave (defended by Zyon McCollum),0.47,-0.23,4.0,2023,58
2.0,4:46,3.0,7.0,NOR 28,7.0,3.0,Derek Carr pass complete short right to Rashid Shaheed for 10 yards,-0.23,1.47,4.0,2023,58
2.0,4:13,1.0,10.0,NOR 38,7.0,3.0,Kendre Miller left tackle for 3 yards (tackle by Antoine Winfield),1.47,1.33,4.0,2023,58
