Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Patrick Mahomes,KAN,0,0,0,0,0,4.0,2023,63
Isiah Pacheco,KAN,3,3,43,0,33,4.0,2023,63
Skyy Moore,KAN,2,0,0,0,0,4.0,2023,63
Clyde Edwards-Helaire,KAN,1,1,1,0,1,4.0,2023,63
Jerick McKinnon,KAN,1,0,0,0,0,4.0,2023,63
Travis Kelce,KAN,9,6,60,0,16,4.0,2023,63
Noah Gray,KAN,3,1,34,1,34,4.0,2023,63
Rashee Rice,KAN,5,3,32,0,18,4.0,2023,63
Kadarius Toney,KAN,2,2,22,0,15,4.0,2023,63
Marquez Valdes-Scantling,KAN,2,1,6,0,6,4.0,2023,63
Justin Watson,KAN,1,1,5,0,5,4.0,2023,63
Zach Wilson,NYJ,0,0,0,0,0,4.0,2023,63
Breece Hall,NYJ,4,3,13,0,7,4.0,2023,63
Dalvin Cook,NYJ,1,1,2,0,2,4.0,2023,63
Xavier Gipson,NYJ,1,1,4,0,4,4.0,2023,63
Michael Carter,NYJ,3,2,12,0,10,4.0,2023,63
Allen Lazard,NYJ,3,3,61,1,39,4.0,2023,63
Garrett Wilson,NYJ,14,9,60,0,14,4.0,2023,63
Tyler Conklin,NYJ,6,4,58,0,25,4.0,2023,63
Jeremy Ruckert,NYJ,2,2,26,0,23,4.0,2023,63
Randall Cobb,NYJ,4,2,8,0,5,4.0,2023,63
C.J. Uzomah,NYJ,1,1,1,1,1,4.0,2023,63
