Unnamed: 0,DEN,CHI,week,year,game_id
First Downs,17,26,4.0,2023,53
Rush-Yds-TDs,19-97-0,31-171-0,4.0,2023,53
Cmp-Att-Yd-TD-INT,21-28-223-3-0,28-35-335-4-1,4.0,2023,53
Sacked-Yards,1-9,4-35,4.0,2023,53
Net Pass Yards,214,300,4.0,2023,53
Total Yards,311,471,4.0,2023,53
Fumbles-Lost,0-0,1-1,4.0,2023,53
Turnovers,0,2,4.0,2023,53
Penalties-Yards,7-39,10-91,4.0,2023,53
Third Down Conv.,6-11,6-12,4.0,2023,53
Fourth Down Conv.,0-0,1-3,4.0,2023,53
Time of Possession,26:11,33:49,4.0,2023,53
