Unnamed: 0,SEA,NYG,week,year,game_id
First Downs,13,17,4.0,2023,64
Rush-Yds-TDs,23-121-1,29-112-0,4.0,2023,64
Cmp-Att-Yd-TD-INT,15-26-173-1-0,27-34-203-0-2,4.0,2023,64
Sacked-Yards,2-13,11-67,4.0,2023,64
Net Pass Yards,160,136,4.0,2023,64
Total Yards,281,248,4.0,2023,64
Fumbles-Lost,0-0,3-1,4.0,2023,64
Turnovers,0,3,4.0,2023,64
Penalties-Yards,8-74,6-45,4.0,2023,64
Third Down Conv.,3-12,6-16,4.0,2023,64
Fourth Down Conv.,0-2,2-4,4.0,2023,64
Time of Possession,24:00,36:00,4.0,2023,64
