Unnamed: 0,MIN,CAR,week,year,game_id
First Downs,14,20,4.0,2023,52
Rush-Yds-TDs,23-135-0,31-83-0,4.0,2023,52
Cmp-Att-Yd-TD-INT,12-19-139-2-2,25-32-204-0-0,4.0,2023,52
Sacked-Yards,2-9,5-55,4.0,2023,52
Net Pass Yards,130,149,4.0,2023,52
Total Yards,265,232,4.0,2023,52
Fumbles-Lost,1-0,2-1,4.0,2023,52
Turnovers,2,1,4.0,2023,52
Penalties-Yards,7-37,6-80,4.0,2023,52
Third Down Conv.,1-8,5-14,4.0,2023,52
Fourth Down Conv.,1-2,2-3,4.0,2023,52
Time of Possession,21:31,38:29,4.0,2023,52
