Quarter,Time,Tm,Detail,SEA,NYG,week,year,game_id
1.0,0:00,Seahawks,D.K. Metcalf 6 yard pass from Geno Smith (Jason Myers kick),7,0,4.0,2023,64
2.0,3:05,Giants,Graham Gano 55 yard field goal,7,3,4.0,2023,64
,1:39,Seahawks,Kenneth Walker III 1 yard rush (Jason Myers kick),14,3,4.0,2023,64
3.0,1:03,Seahawks,Devon Witherspoon 97 yard interception return (Jason Myers kick),21,3,4.0,2023,64
4.0,5:26,Seahawks,Jason Myers 34 yard field goal,24,3,4.0,2023,64
