Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Matthew Stafford,LAR,2,14,0,8,4.0,2023,56
Kyren Williams,LAR,25,103,2,20,4.0,2023,56
Ronnie Rivers,LAR,9,47,0,9,4.0,2023,56
Puka Nacua,LAR,0,0,0,0,4.0,2023,56
Tyler Higbee,LAR,0,0,0,0,4.0,2023,56
Van Jefferson,LAR,0,0,0,0,4.0,2023,56
Tutu Atwell,LAR,0,0,0,0,4.0,2023,56
Brycen Hopkins,LAR,0,0,0,0,4.0,2023,56
Anthony Richardson,IND,10,56,1,23,4.0,2023,56
Zack Moss,IND,18,70,0,20,4.0,2023,56
Trey Sermon,IND,3,7,0,4,4.0,2023,56
Andrew Ogletree,IND,0,0,0,0,4.0,2023,56
Alec Pierce,IND,0,0,0,0,4.0,2023,56
Mo Alie-Cox,IND,0,0,0,0,4.0,2023,56
Josh Downs,IND,0,0,0,0,4.0,2023,56
Kylen Granson,IND,0,0,0,0,4.0,2023,56
Michael Pittman Jr.,IND,0,0,0,0,4.0,2023,56
Isaiah McKenzie,IND,0,0,0,0,4.0,2023,56
