Unnamed: 0,ARI,SFO,week,year,game_id
First Downs,23,30,4.0,2023,61
Rush-Yds-TDs,25-105-0,31-124-4,4.0,2023,61
Cmp-Att-Yd-TD-INT,28-41-265-2-0,20-21-283-1-0,4.0,2023,61
Sacked-Yards,1-8,1-12,4.0,2023,61
Net Pass Yards,257,271,4.0,2023,61
Total Yards,362,395,4.0,2023,61
Fumbles-Lost,1-0,0-0,4.0,2023,61
Turnovers,0,0,4.0,2023,61
Penalties-Yards,9-55,4-21,4.0,2023,61
Third Down Conv.,8-15,3-5,4.0,2023,61
Fourth Down Conv.,2-3,1-1,4.0,2023,61
Time of Possession,30:46,29:14,4.0,2023,61
