Quarter,Time,Down,ToGo,Location,MIA,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Bills to receive the opening kickoff.",,,4.0,2023,51
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,51
1.0,15:00,1.0,10.0,BUF 25,0.0,0.0,James Cook up the middle for 8 yards (tackle by Jevon Holland),0.61,1.14,4.0,2023,51
1.0,14:23,2.0,2.0,BUF 33,0.0,0.0,Josh Allen pass complete short left to Deonte Harty for 3 yards (tackle by Bradley Chubb),1.14,1.33,4.0,2023,51
1.0,13:46,1.0,10.0,BUF 36,0.0,0.0,Latavius Murray up the middle for 2 yards (tackle by Zach Sieler and Justin Bethel),1.33,1.06,4.0,2023,51
1.0,13:06,2.0,8.0,BUF 38,0.0,0.0,Josh Allen pass complete short right to Dalton Kincaid for 7 yards (tackle by Jerome Baker and David Long),1.06,1.29,4.0,2023,51
1.0,12:25,3.0,1.0,BUF 45,0.0,0.0,Latavius Murray right guard for 3 yards (tackle by David Long),1.29,2.13,4.0,2023,51
1.0,11:52,1.0,10.0,BUF 48,0.0,0.0,James Cook right end for 2 yards (tackle by David Long and Da'Shawn Hand),2.13,1.85,4.0,2023,51
1.0,11:10,2.0,8.0,BUF 50,0.0,0.0,"Josh Allen pass complete deep left to Stefon Diggs for 17 yards. Penalty on Kader Kohou: Unnecessary Roughness / Defense, 15 yards (accepted)",1.85,4.37,4.0,2023,51
1.0,10:46,1.0,10.0,MIA 18,0.0,6.0,"Josh Allen pass complete deep right to Gabriel Davis for 18 yards, touchdown",4.37,7.0,4.0,2023,51
1.0,10:41,,,MIA 15,0.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,4.0,2023,51
1.0,10:41,,,BUF 35,0.0,7.0,"Tyler Bass kicks off 65 yards, returned by Braxton Berrios for 23 yards (tackle by Dorian Williams)",0.0,0.48,4.0,2023,51
1.0,10:36,1.0,10.0,MIA 23,0.0,7.0,Tua Tagovailoa pass complete short left to Durham Smythe for 8 yards (tackle by Tre'Davious White),0.48,1.01,4.0,2023,51
1.0,9:52,2.0,2.0,MIA 31,0.0,7.0,Tua Tagovailoa pass complete short left to Durham Smythe for 22 yards (tackle by Taylor Rapp),1.01,2.46,4.0,2023,51
1.0,9:16,1.0,10.0,BUF 47,0.0,7.0,Raheem Mostert left end for 2 yards (tackle by Leonard Floyd),2.46,2.18,4.0,2023,51
1.0,8:33,2.0,8.0,BUF 45,0.0,7.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 11 yards (tackle by Matt Milano),2.18,3.31,4.0,2023,51
1.0,7:56,1.0,10.0,BUF 34,0.0,7.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 19 yards (tackle by Taron Johnson),3.31,4.58,4.0,2023,51
1.0,7:20,1.0,10.0,BUF 15,0.0,7.0,"Tua Tagovailoa pass incomplete short left. Penalty on Tre'Davious White: Defensive Offside, 5 yards (accepted) (no play)",4.58,5.74,4.0,2023,51
1.0,7:17,1.0,5.0,BUF 10,0.0,7.0,Tua Tagovailoa pass complete short middle to De'Von Achane for 7 yards (tackle by Micah Hyde),5.74,6.51,4.0,2023,51
1.0,6:35,1.0,3.0,BUF 3,6.0,7.0,"De'Von Achane right guard for 3 yards, touchdown",6.51,7.0,4.0,2023,51
1.0,6:30,,,BUF 15,7.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,4.0,2023,51
1.0,6:30,,,MIA 35,7.0,7.0,"Jason Sanders kicks off 69 yards, returned by Khalil Shakir for 24 yards (tackle by Elijah Campbell and Chase Winovich)",0.0,0.28,4.0,2023,51
1.0,6:24,1.0,10.0,BUF 20,7.0,7.0,James Cook up the middle for 3 yards (tackle by Zach Sieler),0.28,0.14,4.0,2023,51
1.0,5:48,2.0,7.0,BUF 23,7.0,7.0,Josh Allen pass complete short right to Dalton Kincaid for 5 yards (tackle by Jerome Baker),0.14,0.1,4.0,2023,51
1.0,5:17,3.0,2.0,BUF 28,7.0,7.0,Josh Allen pass complete short left to Trent Sherfield for 9 yards (tackle by Justin Bethel and Bradley Chubb),0.1,1.4,4.0,2023,51
1.0,4:33,,,,,,Timeout #1 by Buffalo Bills,,,4.0,2023,51
