Quarter,Time,Tm,Detail,ATL,JAX,week,year,game_id
1.0,5:44,Jaguars,Calvin Ridley 30 yard pass from Trevor Lawrence (Brandon McManus kick),0,7,4.0,2023,50
2.0,14:51,Jaguars,Brandon McManus 56 yard field goal,0,10,4.0,2023,50
,4:31,Jaguars,Darious Williams 61 yard interception return (Brandon McManus kick),0,17,4.0,2023,50
3.0,11:38,Falcons,Drake London 15 yard pass from Desmond Ridder (Younghoe Koo kick),7,17,4.0,2023,50
4.0,10:36,Jaguars,Brandon McManus 43 yard field goal,7,20,4.0,2023,50
,1:56,Jaguars,Brandon McManus 38 yard field goal,7,23,4.0,2023,50
