Quarter,Time,Tm,Detail,LVR,LAC,week,year,game_id
1.0,10:38,Chargers,Justin Herbert 12 yard rush (Cameron Dicker kick),0,7,4.0,2023,60
,0:45,Raiders,Aidan O'Connell 1 yard rush (Daniel Carlson kick),7,7,4.0,2023,60
2.0,10:42,Chargers,Cameron Dicker 33 yard field goal,7,10,4.0,2023,60
,7:20,Chargers,Keenan Allen 7 yard pass from Justin Herbert (Cameron Dicker kick),7,17,4.0,2023,60
,3:05,Chargers,Justin Herbert 1 yard rush (Cameron Dicker kick),7,24,4.0,2023,60
3.0,4:51,Raiders,Daniel Carlson 22 yard field goal,10,24,4.0,2023,60
4.0,3:59,Raiders,Josh Jacobs 1 yard rush (Daniel Carlson kick),17,24,4.0,2023,60
