Unnamed: 0,CIN,TEN,week,year,game_id
First Downs,14,23,4.0,2023,54
Rush-Yds-TDs,18-72-0,33-173-1,4.0,2023,54
Cmp-Att-Yd-TD-INT,20-30-165-0-0,19-26-242-2-1,4.0,2023,54
Sacked-Yards,3-26,3-15,4.0,2023,54
Net Pass Yards,139,227,4.0,2023,54
Total Yards,211,400,4.0,2023,54
Fumbles-Lost,2-1,3-0,4.0,2023,54
Turnovers,1,1,4.0,2023,54
Penalties-Yards,5-40,5-27,4.0,2023,54
Third Down Conv.,2-9,8-13,4.0,2023,54
Fourth Down Conv.,0-1,1-1,4.0,2023,54
Time of Possession,25:15,34:45,4.0,2023,54
