Quarter,Time,Tm,Detail,KAN,NYJ,week,year,game_id
1.0,11:35,Chiefs,Harrison Butker 37 yard field goal,3,0,4.0,2023,63
,8:32,Chiefs,Isiah Pacheco 48 yard rush (Harrison Butker kick),10,0,4.0,2023,63
,3:24,Chiefs,Noah Gray 34 yard pass from Patrick Mahomes (Harrison Butker kick),17,0,4.0,2023,63
2.0,13:20,Jets,Safety,17,2,4.0,2023,63
,9:50,Jets,Greg Zuerlein 31 yard field goal,17,5,4.0,2023,63
,6:26,Jets,C.J. Uzomah 1 yard pass from Zach Wilson (Greg Zuerlein kick),17,12,4.0,2023,63
,2:15,Chiefs,Harrison Butker 37 yard field goal,20,12,4.0,2023,63
3.0,10:40,Jets,Allen Lazard 10 yard pass from Zach Wilson (Zach Wilson run),20,20,4.0,2023,63
4.0,10:51,Chiefs,Harrison Butker 26 yard field goal,23,20,4.0,2023,63
