Quarter,Time,Down,ToGo,Location,PIT,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Texans to receive the opening kickoff.",,,4.0,2023,57
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 69 yards, returned by Devin Singletary for 35 yards (tackle by Joey Porter and Elijah Riley)",0.0,1.0,4.0,2023,57
1.0,14:54,1.0,10.0,HOU 31,0.0,0.0,C.J. Stroud pass incomplete short middle intended for Tank Dell (defended by DeMarvin Leal) (defended by Levi Wallace),1.0,0.46,4.0,2023,57
1.0,14:50,2.0,10.0,HOU 31,0.0,0.0,Dameon Pierce right end for 13 yards (tackle by Damontae Kazee),0.46,1.86,4.0,2023,57
1.0,14:19,1.0,10.0,HOU 44,0.0,0.0,Dameon Pierce left tackle for 2 yards (tackle by DeMarvin Leal),1.86,1.59,4.0,2023,57
1.0,13:37,2.0,8.0,HOU 46,0.0,0.0,C.J. Stroud scrambles left end for 11 yards (tackle by Minkah Fitzpatrick),1.59,2.72,4.0,2023,57
1.0,13:02,1.0,10.0,PIT 43,0.0,0.0,Dameon Pierce up the middle for 4 yards (tackle by Chandon Sullivan and Larry Ogunjobi),2.72,2.72,4.0,2023,57
1.0,12:23,2.0,6.0,PIT 39,0.0,0.0,C.J. Stroud pass complete short middle to Dameon Pierce for 27 yards (tackle by Minkah Fitzpatrick),2.72,4.78,4.0,2023,57
1.0,11:48,1.0,10.0,PIT 12,0.0,0.0,Devin Singletary left tackle for 1 yard (tackle by Cole Holcomb),4.78,4.27,4.0,2023,57
1.0,11:07,,,,,,Timeout #1 by Houston Texans,,,4.0,2023,57
1.0,11:07,2.0,9.0,PIT 11,0.0,0.0,Tank Dell right end for 6 yards (tackle by Minkah Fitzpatrick),4.27,4.61,4.0,2023,57
1.0,10:23,3.0,3.0,PIT 5,0.0,0.0,"C.J. Stroud scrambles up the middle for 5 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. C.J. Stroud scrambles up the middle for 4 yards (tackle by Elandon Roberts)",4.61,6.97,4.0,2023,57
1.0,10:13,1.0,1.0,PIT 1,0.0,0.0,"Penalty on Shaq Mason: False Start, 4 yards (accepted) (no play)",6.97,6.06,4.0,2023,57
