Quarter,Time,Tm,Detail,BAL,CLE,week,year,game_id
1.0,6:38,Ravens,Lamar Jackson 10 yard rush (Justin Tucker kick),7,0,4.0,2023,55
,2:21,Browns,Dustin Hopkins 53 yard field goal,7,3,4.0,2023,55
2.0,4:18,Ravens,Lamar Jackson 2 yard rush (Justin Tucker kick),14,3,4.0,2023,55
,0:11,Ravens,Mark Andrews 7 yard pass from Lamar Jackson (Justin Tucker kick),21,3,4.0,2023,55
4.0,5:56,Ravens,Mark Andrews 18 yard pass from Lamar Jackson (Justin Tucker kick),28,3,4.0,2023,55
