Quarter,Time,Down,ToGo,Location,DEN,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Bears to receive the opening kickoff.",,,4.0,2023,53
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,53
1.0,15:00,1.0,10.0,CHI 25,0.0,0.0,Justin Fields pass complete short right to Robert Tonyan for 9 yards (tackle by Delarrin Turner-Yell),0.61,1.28,4.0,2023,53
1.0,14:14,2.0,1.0,CHI 34,0.0,0.0,Justin Fields pass complete short right to D.J. Moore for 7 yards (tackle by Damarri Mathis),1.28,1.66,4.0,2023,53
1.0,13:39,1.0,10.0,CHI 41,0.0,0.0,Justin Fields left end for -1 yards (tackle by Nik Bonitto and Ja'Quan McMillian),1.66,0.99,4.0,2023,53
1.0,12:58,2.0,11.0,CHI 40,0.0,0.0,Justin Fields sacked by Nik Bonitto for -4 yards,0.99,-0.23,4.0,2023,53
1.0,12:17,3.0,15.0,CHI 36,0.0,0.0,Justin Fields pass complete short middle to D.J. Moore for 14 yards (tackle by Kareem Jackson),-0.23,-0.06,4.0,2023,53
1.0,11:26,4.0,1.0,CHI 50,0.0,0.0,"Trenton Gill punts 34 yards, fair catch by Marvin Mims at DEN-16",-0.06,0.14,4.0,2023,53
1.0,11:20,1.0,10.0,DEN 16,0.0,0.0,Russell Wilson pass complete short right to Javonte Williams for 4 yards (tackle by Tremaine Edmunds),-0.14,0.01,4.0,2023,53
1.0,10:44,2.0,6.0,DEN 20,0.0,0.0,Russell Wilson pass complete short middle to Chris Manhertz for 10 yards (tackle by Terell Smith),0.01,0.94,4.0,2023,53
1.0,10:01,1.0,10.0,DEN 30,0.0,0.0,Russell Wilson pass complete short middle to Jerry Jeudy for 18 yards (tackle by Elijah Hicks),0.94,2.13,4.0,2023,53
1.0,9:19,1.0,10.0,DEN 48,0.0,0.0,Javonte Williams right end for -1 yards (tackle by DeMarcus Walker),2.13,1.45,4.0,2023,53
1.0,8:41,2.0,11.0,DEN 47,0.0,0.0,"Russell Wilson pass complete short right to Nate Adkins for 6 yards (tackle by Jack Sanborn). Penalty on Jack Sanborn: Unnecessary Roughness / Defense, 15 yards (accepted)",1.45,3.45,4.0,2023,53
1.0,8:07,1.0,10.0,CHI 32,0.0,0.0,Russell Wilson pass complete short left to Javonte Williams for 3 yards (tackle by Jack Sanborn and Terell Smith),3.45,3.31,4.0,2023,53
1.0,7:26,2.0,7.0,CHI 29,0.0,0.0,Jaleel McLaughlin right tackle for 6 yards (tackle by Jack Sanborn),3.31,3.4,4.0,2023,53
1.0,6:52,3.0,1.0,CHI 23,0.0,0.0,Russell Wilson scrambles right end for 2 yards (tackle by T.J. Edwards),3.4,4.17,4.0,2023,53
1.0,6:00,1.0,10.0,CHI 21,0.0,0.0,Samaje Perine left guard for 3 yards (tackle by T.J. Edwards and Justin Jones),4.17,4.04,4.0,2023,53
1.0,5:21,2.0,7.0,CHI 18,0.0,0.0,Russell Wilson pass incomplete short left intended for Adam Trautman,4.04,3.31,4.0,2023,53
1.0,5:15,3.0,7.0,CHI 18,6.0,0.0,"Russell Wilson pass complete short right to Jaleel McLaughlin for 18 yards, touchdown",3.31,7.0,4.0,2023,53
1.0,5:08,,,CHI 15,7.0,0.0,Wil Lutz kicks extra point good,0.0,0.0,4.0,2023,53
1.0,5:08,,,DEN 35,7.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,53
1.0,5:08,1.0,10.0,CHI 25,7.0,0.0,Khalil Herbert right tackle for 3 yards (tackle by Drew Sanders and Randy Gregory),0.61,0.47,4.0,2023,53
1.0,4:21,2.0,7.0,CHI 28,7.0,0.0,Justin Fields pass complete short middle to Darnell Mooney for 16 yards (tackle by Kareem Jackson),0.47,1.86,4.0,2023,53
1.0,3:45,1.0,10.0,CHI 44,7.0,0.0,Justin Fields left end for 3 yards (tackle by Alex Singleton),1.86,1.72,4.0,2023,53
1.0,3:03,2.0,7.0,CHI 47,7.0,0.0,Khalil Herbert right guard for 2 yards (tackle by Drew Sanders),1.72,1.29,4.0,2023,53
1.0,2:21,3.0,5.0,CHI 49,7.0,0.0,Justin Fields pass complete short right to Darnell Mooney for 4 yards,1.29,0.13,4.0,2023,53
1.0,1:38,4.0,1.0,DEN 47,7.0,0.0,Cole Kmet up the middle for 1 yard (tackle by Jonathon Cooper and Alex Singleton),0.13,2.52,4.0,2023,53
1.0,0:49,1.0,10.0,DEN 46,7.0,0.0,Khalil Herbert right end for 3 yards (tackle by Jonathan Harris),2.52,2.38,4.0,2023,53
1.0,0:08,2.0,7.0,DEN 43,7.0,0.0,Justin Fields pass complete short left to Darnell Mooney for 14 yards (tackle by Delarrin Turner-Yell),2.38,3.64,4.0,2023,53
2.0,15:00,1.0,10.0,DEN 29,7.0,6.0,"Justin Fields pass complete deep right to D.J. Moore for 29 yards, touchdown Replay Assistant challenged the pass completion ruling, and the play was upheld.",3.64,7.0,4.0,2023,53
2.0,14:53,,,DEN 15,7.0,7.0,Cairo Santos kicks extra point good,0.0,0.0,4.0,2023,53
2.0,14:53,,,CHI 35,7.0,7.0,"Cairo Santos kicks off 65 yards, recovered by Marvin Mims at DEN-4 (tackle by Travis Homer)",0.0,-0.38,4.0,2023,53
2.0,14:48,1.0,10.0,DEN 4,7.0,7.0,Russell Wilson pass complete short middle to Javonte Williams for 2 yards (tackle by T.J. Edwards and Tremaine Edmunds),-0.38,-0.63,4.0,2023,53
2.0,13:58,2.0,8.0,DEN 6,7.0,7.0,"Javonte Williams right end for 1 yard (tackle by T.J. Edwards). Penalty on Adam Trautman: Offensive Holding, 10 yards (declined)",-0.63,-1.07,4.0,2023,53
2.0,13:38,,,,,,Timeout #1 by Denver Broncos,,,4.0,2023,53
2.0,13:38,3.0,7.0,DEN 7,7.0,7.0,Russell Wilson pass complete short left to Marvin Mims for -1 yards (tackle by Greg Stroman),-1.07,-2.49,4.0,2023,53
2.0,13:07,4.0,8.0,DEN 6,7.0,7.0,"Riley Dixon punts 38 yards, fair catch by Trent Taylor at DEN-44",-2.49,-2.65,4.0,2023,53
2.0,13:00,1.0,10.0,DEN 44,7.0,7.0,"Penalty on Tyler Scott: False Start, 5 yards (accepted) (no play)",2.65,2.32,4.0,2023,53
2.0,13:00,1.0,15.0,DEN 49,7.0,7.0,Justin Fields pass complete short left to D.J. Moore for 24 yards (tackle by Damarri Mathis),2.32,3.91,4.0,2023,53
2.0,12:27,1.0,10.0,DEN 25,7.0,7.0,Roschon Johnson right end for 3 yards (tackle by Alex Singleton and Damarri Mathis),3.91,3.77,4.0,2023,53
2.0,11:50,2.0,7.0,DEN 22,7.0,13.0,"Justin Fields pass complete deep right to Cole Kmet for 22 yards, touchdown",3.77,7.0,4.0,2023,53
2.0,11:44,,,DEN 15,7.0,14.0,Cairo Santos kicks extra point good,0.0,0.0,4.0,2023,53
2.0,11:44,,,CHI 35,7.0,14.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,53
2.0,11:44,1.0,10.0,DEN 25,7.0,14.0,Jaleel McLaughlin right tackle for 14 yards (tackle by Tremaine Edmunds and Jack Sanborn),0.61,1.53,4.0,2023,53
2.0,11:07,1.0,10.0,DEN 39,7.0,14.0,Russell Wilson sacked by and Dominique Robinson for -9 yards and Zacch Pickens for -9 yards,1.53,-0.23,4.0,2023,53
2.0,10:20,2.0,19.0,DEN 30,7.0,14.0,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",-0.23,-0.9,4.0,2023,53
2.0,9:58,2.0,24.0,DEN 25,7.0,14.0,Russell Wilson pass complete short middle to Courtland Sutton for 8 yards (tackle by Tremaine Edmunds),-0.9,-0.49,4.0,2023,53
2.0,9:18,3.0,16.0,DEN 33,7.0,14.0,Russell Wilson pass complete short left to Samaje Perine for 12 yards (tackle by Tyrique Stevenson),-0.49,-0.39,4.0,2023,53
2.0,8:38,4.0,4.0,DEN 45,7.0,14.0,"Riley Dixon punts 40 yards, fair catch by Trent Taylor at CHI-15",-0.39,0.22,4.0,2023,53
2.0,8:35,1.0,10.0,CHI 15,7.0,14.0,Khalil Herbert right tackle for 24 yards (tackle by Delarrin Turner-Yell),-0.22,1.53,4.0,2023,53
2.0,7:54,1.0,10.0,CHI 39,7.0,14.0,"Justin Fields pass complete deep left to Equanimeous St. Brown for 21 yards DEN challenged the pass completion ruling, and the play was upheld.",1.53,2.92,4.0,2023,53
2.0,7:35,1.0,10.0,DEN 40,7.0,14.0,Justin Fields pass complete short right to Cole Kmet for 22 yards (tackle by Delarrin Turner-Yell),2.92,4.37,4.0,2023,53
2.0,6:55,1.0,10.0,DEN 18,7.0,14.0,Khalil Herbert right tackle for 5 yards (tackle by Damarri Mathis),4.37,4.61,4.0,2023,53
2.0,6:20,2.0,5.0,DEN 13,7.0,14.0,"Justin Fields pass incomplete short left intended for Cole Kmet. Penalty on Kareem Jackson: Defensive Pass Interference, 10 yards (accepted) (no play)",4.61,6.51,4.0,2023,53
2.0,6:15,1.0,3.0,DEN 3,7.0,20.0,"Justin Fields pass complete short right to Cole Kmet for 3 yards, touchdown",6.51,7.0,4.0,2023,53
2.0,6:08,,,DEN 15,7.0,21.0,Cairo Santos kicks extra point good,0.0,0.0,4.0,2023,53
2.0,6:08,,,CHI 35,7.0,21.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,53
