Quarter,Time,Tm,Detail,NWE,DAL,week,year,game_id
1.0,10:52,Cowboys,Brandon Aubrey 23 yard field goal,0,3,4.0,2023,62
,6:41,Patriots,Chad Ryland 29 yard field goal,3,3,4.0,2023,62
,1:30,Cowboys,CeeDee Lamb 20 yard pass from Dak Prescott (Brandon Aubrey kick),3,10,4.0,2023,62
2.0,11:09,Cowboys,Leighton Vander Esch 11 yard fumble return (Chauncey Golston pass from Bryan Anger),3,18,4.0,2023,62
,4:03,Cowboys,Brandon Aubrey 23 yard field goal,3,21,4.0,2023,62
,0:54,Cowboys,DaRon Bland 54 yard interception return (Brandon Aubrey kick),3,28,4.0,2023,62
3.0,7:42,Cowboys,Brandon Aubrey 33 yard field goal,3,31,4.0,2023,62
4.0,6:38,Cowboys,Hunter Luepke 3 yard rush (Brandon Aubrey kick),3,38,4.0,2023,62
