Quarter,Time,Tm,Detail,CIN,TEN,week,year,game_id
1.0,9:12,Bengals,Evan McPherson 21 yard field goal,3,0,4.0,2023,54
,1:24,Titans,Nick Folk 53 yard field goal,3,3,4.0,2023,54
2.0,6:31,Titans,Nick Westbrook-Ikhine 13 yard pass from Ryan Tannehill (Nick Folk kick),3,10,4.0,2023,54
,3:58,Titans,Derrick Henry 29 yard rush (Nick Folk kick),3,17,4.0,2023,54
,0:10,Titans,Josh Whyle 2 yard pass from Derrick Henry (Nick Folk kick),3,24,4.0,2023,54
3.0,4:38,Titans,Nick Folk 35 yard field goal,3,27,4.0,2023,54
