Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Lions to receive the opening kickoff.",,,4.0,2023,49
1.0,15:00,,,GNB 35,0.0,0.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,49
1.0,15:00,1.0,10.0,DET 25,0.0,0.0,David Montgomery left tackle for no gain (tackle by Preston Smith and Quay Walker),0.61,0.06,4.0,2023,49
1.0,14:27,2.0,10.0,DET 25,0.0,0.0,Jared Goff pass complete short left to Kalif Raymond for -2 yards (tackle by Rasul Douglas),0.06,-0.89,4.0,2023,49
1.0,13:45,3.0,12.0,DET 23,0.0,0.0,Jared Goff pass short middle intended for Amon-Ra St. Brown is intercepted by Rudy Ford at DET-37 and returned for 21 yards (tackle by Jared Goff),-0.89,-4.51,4.0,2023,49
1.0,13:34,1.0,10.0,DET 16,0.0,0.0,Jordan Love pass incomplete short right intended for Aaron Jones,4.51,3.9,4.0,2023,49
1.0,13:25,2.0,10.0,DET 16,0.0,0.0,Jordan Love sacked by Aidan Hutchinson for -9 yards,3.9,2.08,4.0,2023,49
1.0,12:43,3.0,19.0,DET 25,0.0,0.0,Jordan Love pass complete short middle to Romeo Doubs for 9 yards (tackle by Ifeatu Melifonwu),2.08,2.38,4.0,2023,49
1.0,12:03,4.0,10.0,DET 16,0.0,3.0,Anders Carlson 34 yard field goal good,2.38,3.0,4.0,2023,49
1.0,11:59,,,GNB 35,0.0,3.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,49
1.0,11:59,1.0,10.0,DET 25,0.0,3.0,David Montgomery up the middle for 2 yards (tackle by Preston Smith and Darnell Savage),0.61,0.33,4.0,2023,49
1.0,11:27,2.0,8.0,DET 27,0.0,3.0,Jahmyr Gibbs right end for 7 yards (tackle by Darnell Savage),0.33,0.56,4.0,2023,49
1.0,10:50,3.0,1.0,DET 34,0.0,3.0,David Montgomery up the middle for 2 yards (tackle by Colby Wooden),0.56,1.33,4.0,2023,49
1.0,10:18,1.0,10.0,DET 36,0.0,3.0,Jared Goff pass complete short right to Jahmyr Gibbs for 3 yards (tackle by Quay Walker),1.33,1.2,4.0,2023,49
1.0,9:43,2.0,7.0,DET 39,0.0,3.0,David Montgomery left tackle for 2 yards (tackle by Tedarrell Slaton and Kingsley Enagbare),1.2,0.76,4.0,2023,49
1.0,9:07,3.0,5.0,DET 41,0.0,3.0,Jared Goff pass complete short middle to Sam LaPorta for 35 yards (tackle by Rudy Ford),0.76,3.97,4.0,2023,49
1.0,8:22,1.0,10.0,GNB 24,6.0,3.0,"Jared Goff pass complete deep left to Amon-Ra St. Brown for 24 yards, touchdown",3.97,7.0,4.0,2023,49
1.0,8:16,,,GNB 15,7.0,3.0,Riley Patterson kicks extra point good,0.0,0.0,4.0,2023,49
1.0,8:16,,,DET 35,7.0,3.0,"Jack Fox kicks off 65 yards, returned by Keisean Nixon for 20 yards (tackle by Chase Lucas)",0.0,0.28,4.0,2023,49
1.0,8:11,1.0,10.0,GNB 20,7.0,3.0,Jordan Love sacked by Isaiah Buggs for -6 yards,0.28,-1.18,4.0,2023,49
1.0,7:31,2.0,16.0,GNB 14,7.0,3.0,Jordan Love pass incomplete short left intended for Romeo Doubs (defended by Jerry Jacobs),-1.18,-2.03,4.0,2023,49
1.0,7:27,3.0,16.0,GNB 14,7.0,3.0,"Jordan Love pass incomplete short left intended for AJ Dillon. Penalty on Jon Runyan: Offensive Holding, 10 yards (declined)",-2.03,-2.47,4.0,2023,49
1.0,7:18,4.0,16.0,GNB 14,7.0,3.0,"Penalty on Kingsley Enagbare: False Start, 5 yards (accepted) (no play)",-2.47,-2.49,4.0,2023,49
1.0,7:18,4.0,21.0,GNB 9,7.0,3.0,"Daniel Whelan punts 57 yards, returned by Kalif Raymond for 11 yards (tackle by Isaiah McDuffie)",-2.49,-1.93,4.0,2023,49
1.0,7:10,1.0,10.0,DET 45,7.0,3.0,Jared Goff pass incomplete deep right intended for Josh Reynolds,1.93,1.38,4.0,2023,49
