Quarter,Time,Down,ToGo,Location,LAR,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss and deferred, Rams to receive the opening kickoff.",,,4.0,2023,56
1,15:00,,,IND 35,0.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,56
1,15:00,1.0,10.0,LAR 25,0.0,0.0,Matthew Stafford pass complete deep middle to Puka Nacua for 26 yards (tackle by Rodney Thomas and Julian Blackmon),0.61,2.32,4.0,2023,56
1,14:24,1.0,10.0,IND 49,0.0,0.0,Kyren Williams right end for -1 yards (tackle by Grover Stewart and Kenny Moore),2.32,1.65,4.0,2023,56
1,13:58,2.0,11.0,IND 50,0.0,0.0,Matthew Stafford pass incomplete short left intended for Puka Nacua (defended by Dallis Flowers),1.65,0.96,4.0,2023,56
1,13:51,3.0,11.0,IND 50,0.0,0.0,Matthew Stafford scrambles right end for 6 yards (tackle by Julian Blackmon),0.96,0.96,4.0,2023,56
1,13:51,3.0,11.0,IND 50,0.0,0.0,"Penalty on E.J. Speed: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.96,3.64,4.0,2023,56
1,13:23,1.0,10.0,IND 29,0.0,0.0,Matthew Stafford pass complete short left to Van Jefferson for 13 yards,3.64,4.51,4.0,2023,56
1,12:55,1.0,10.0,IND 16,0.0,0.0,Kyren Williams left end for 6 yards (tackle by Dallis Flowers),4.51,4.97,4.0,2023,56
1,12:06,2.0,4.0,IND 10,0.0,0.0,Matthew Stafford pass incomplete short right intended for Tyler Higbee (defended by Dayo Odeyingbo),4.97,4.17,4.0,2023,56
1,12:01,3.0,4.0,IND 10,0.0,0.0,Matthew Stafford pass complete short left to Puka Nacua for 7 yards (tackle by Julian Blackmon and E.J. Speed),4.17,6.51,4.0,2023,56
1,11:38,1.0,3.0,IND 3,6.0,0.0,"Kyren Williams up the middle for 3 yards, touchdown",6.51,7.0,4.0,2023,56
1,11:35,,,IND 15,7.0,0.0,Brett Maher kicks extra point good,0.0,0.0,4.0,2023,56
1,11:35,,,LAR 35,7.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,56
1,11:35,1.0,10.0,IND 25,7.0,0.0,Anthony Richardson scrambles right end for 4 yards (tackle by Ernest Jones),0.61,0.6,4.0,2023,56
1,10:52,2.0,6.0,IND 29,7.0,0.0,Anthony Richardson pass incomplete short left intended for Isaiah McKenzie,0.6,-0.1,4.0,2023,56
