Unnamed: 0,LVR,LAC,week,year,game_id
First Downs,22,16,4.0,2023,60
Rush-Yds-TDs,23-76-2,37-155-2,4.0,2023,60
Cmp-Att-Yd-TD-INT,24-39-238-0-1,13-24-167-1-1,4.0,2023,60
Sacked-Yards,7-50,2-17,4.0,2023,60
Net Pass Yards,188,150,4.0,2023,60
Total Yards,264,305,4.0,2023,60
Fumbles-Lost,3-2,1-0,4.0,2023,60
Turnovers,3,1,4.0,2023,60
Penalties-Yards,9-80,4-34,4.0,2023,60
Third Down Conv.,1-11,5-14,4.0,2023,60
Fourth Down Conv.,3-3,1-2,4.0,2023,60
Time of Possession,32:51,27:09,4.0,2023,60
