Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA,week,year,game_id
1.0,8:09,1.0,10.0,DAL 15,0.0,3.0,Rhamondre Stevenson right guard for 6 yards (tackle by Damone Clark),4.58,5.03,4.0,2023,62
1.0,7:26,2.0,4.0,DAL 9,0.0,3.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Johnathan Hankins),5.03,4.9,4.0,2023,62
1.0,6:52,3.0,1.0,DAL 6,0.0,3.0,Mac Jones pass incomplete short left intended for Mike Gesicki,4.9,3.02,4.0,2023,62
1.0,6:44,4.0,1.0,DAL 6,0.0,3.0,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",3.02,2.72,4.0,2023,62
1.0,6:44,4.0,6.0,DAL 11,3.0,3.0,Chad Ryland 29 yard field goal good,2.72,3.0,4.0,2023,62
1.0,6:41,,,NWE 35,3.0,3.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,62
1.0,6:41,1.0,10.0,DAL 25,3.0,3.0,Tony Pollard up the middle for 2 yards (tackle by Matt Judon),0.61,0.33,4.0,2023,62
1.0,6:05,2.0,8.0,DAL 27,3.0,3.0,Dak Prescott pass complete short left to Brandin Cooks for 11 yards (tackle by Shaun Wade),0.33,1.47,4.0,2023,62
1.0,5:32,1.0,10.0,DAL 38,3.0,3.0,CeeDee Lamb right end for 12 yards (tackle by Kyle Dugger),1.47,2.26,4.0,2023,62
1.0,4:59,1.0,10.0,DAL 50,3.0,3.0,Dak Prescott pass complete short left to Rico Dowdle for 8 yards (tackle by Jahlani Tavai and Myles Bryant),2.26,2.79,4.0,2023,62
1.0,4:26,2.0,2.0,NWE 42,3.0,3.0,Rico Dowdle left guard for 4 yards (tackle by Jahlani Tavai),2.79,3.05,4.0,2023,62
1.0,3:55,1.0,10.0,NWE 38,3.0,3.0,Dak Prescott pass complete short left to Michael Gallup for 9 yards (tackle by Jabrill Peppers),3.05,3.72,4.0,2023,62
1.0,3:19,2.0,1.0,NWE 29,3.0,3.0,Tony Pollard right end for no gain (tackle by Shaun Wade),3.72,3.01,4.0,2023,62
1.0,2:48,3.0,1.0,NWE 29,3.0,3.0,Dak Prescott pass complete short middle to Tony Pollard for 4 yards (tackle by Ja'Whaun Bentley),3.01,3.91,4.0,2023,62
1.0,2:10,1.0,10.0,NWE 25,3.0,3.0,Tony Pollard right end for 5 yards (tackle by Christian Gonzalez),3.91,4.04,4.0,2023,62
1.0,1:34,2.0,5.0,NWE 20,3.0,9.0,"Dak Prescott pass complete deep left to CeeDee Lamb for 20 yards, touchdown",4.04,7.0,4.0,2023,62
1.0,1:30,,,NWE 15,3.0,10.0,Brandon Aubrey kicks extra point good,0.0,0.0,4.0,2023,62
1.0,1:30,,,DAL 35,3.0,10.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,62
1.0,1:30,1.0,10.0,NWE 25,3.0,10.0,Ezekiel Elliott up the middle for 9 yards (tackle by Leighton Vander Esch),0.61,1.28,4.0,2023,62
1.0,0:55,2.0,1.0,NWE 34,3.0,10.0,Ezekiel Elliott right tackle for 4 yards (tackle by Osa Odighizuwa and Donovan Wilson),1.28,1.47,4.0,2023,62
1.0,0:13,1.0,10.0,NWE 38,3.0,10.0,Mac Jones pass complete short middle to Mike Gesicki for 12 yards (tackle by Jayron Kearse),1.47,2.26,4.0,2023,62
2.0,15:00,1.0,10.0,DAL 50,3.0,10.0,Ezekiel Elliott up the middle for no gain (tackle by Chauncey Golston and Dorance Armstrong),2.26,1.71,4.0,2023,62
