Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,4.0,2023,61
1.0,15:00,,,SFO 35,0.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,61
1.0,15:00,1.0,10.0,ARI 25,0.0,0.0,Joshua Dobbs pass complete short left to Marquise Brown for 6 yards (tackle by Fred Warner),0.61,0.87,4.0,2023,61
1.0,14:25,2.0,4.0,ARI 31,0.0,0.0,James Conner right guard for 2 yards (tackle by Dre Greenlaw and Javon Hargrave),0.87,0.43,4.0,2023,61
1.0,13:55,3.0,2.0,ARI 33,0.0,0.0,Joshua Dobbs pass incomplete short right intended for Zach Ertz,0.43,-1.18,4.0,2023,61
1.0,13:34,4.0,2.0,ARI 33,0.0,0.0,"Penalty on Owen Pappoe: False Start, 5 yards (accepted) (no play)",-1.18,-1.5,4.0,2023,61
1.0,13:34,4.0,7.0,ARI 28,0.0,0.0,"Nolan Cooney punts 49 yards, returned by Ray-Ray McCloud for 15 yards (tackle by Trey McBride and Jesse Luketa)",-1.5,-1.47,4.0,2023,61
1.0,13:23,1.0,10.0,SFO 38,0.0,0.0,Christian McCaffrey up the middle for 6 yards (tackle by Leki Fotu and Zeke Turner),1.47,1.73,4.0,2023,61
1.0,12:50,2.0,4.0,SFO 44,0.0,0.0,Deebo Samuel left end for 3 yards (tackle by Kei'Trel Clark),1.73,1.42,4.0,2023,61
1.0,12:15,3.0,1.0,SFO 47,0.0,0.0,Christian McCaffrey left tackle for 6 yards (tackle by Victor Dimukeje and Zeke Turner),1.42,2.46,4.0,2023,61
1.0,11:39,1.0,10.0,ARI 47,0.0,0.0,"Brock Purdy pass incomplete intended for Kyle Juszczyk. Penalty on Kyzir White: Defensive Holding, 5 yards (accepted) (no play)",2.46,2.79,4.0,2023,61
1.0,11:34,1.0,10.0,ARI 42,0.0,0.0,Brock Purdy pass complete short middle to Brandon Aiyuk for 16 yards (tackle by Zeke Turner and K'Von Wallace),2.79,3.84,4.0,2023,61
1.0,10:54,1.0,10.0,ARI 26,0.0,0.0,Brock Purdy pass complete short middle to Christian McCaffrey for 12 yards (tackle by Marco Wilson and K'Von Wallace),3.84,4.65,4.0,2023,61
1.0,10:10,1.0,10.0,ARI 14,0.0,0.0,"Brock Purdy pass complete short left to Christian McCaffrey for 10 yards (tackle by Zeke Turner). Penalty on Zeke Turner: Face Mask (15 Yards), 2 yards (accepted)",4.65,6.74,4.0,2023,61
1.0,9:51,1.0,2.0,ARI 2,0.0,0.0,Christian McCaffrey up the middle for 1 yard (tackle by Leki Fotu and Zeke Turner),6.74,5.91,4.0,2023,61
1.0,9:10,2.0,1.0,ARI 1,0.0,6.0,"Christian McCaffrey up the middle for 1 yard, touchdown",5.91,7.0,4.0,2023,61
1.0,9:07,,,ARI 15,0.0,7.0,Jake Moody kicks extra point good,0.0,0.0,4.0,2023,61
1.0,9:07,,,SFO 35,0.0,7.0,"Jake Moody kicks off 62 yards, returned by Greg Dortch for 13 yards (tackle by Ji'Ayir Brown)",0.0,-0.14,4.0,2023,61
1.0,9:03,1.0,10.0,ARI 16,0.0,7.0,Joshua Dobbs pass incomplete short left intended for Rondale Moore,-0.14,-0.66,4.0,2023,61
1.0,8:59,2.0,10.0,ARI 16,0.0,7.0,"James Conner for no gain (tackle by Nick Bosa). Penalty on Javon Hargrave: Defensive Holding, 5 yards (accepted) (no play)",-0.66,0.34,4.0,2023,61
1.0,8:39,1.0,10.0,ARI 21,0.0,7.0,"Penalty on D.J. Humphries: False Start, 5 yards (accepted) (no play)",0.34,-0.22,4.0,2023,61
1.0,8:26,1.0,15.0,ARI 16,0.0,7.0,Joshua Dobbs pass complete short left to James Conner for 4 yards (tackle by Dre Greenlaw and Fred Warner),-0.22,-0.34,4.0,2023,61
1.0,7:44,2.0,11.0,ARI 20,0.0,7.0,Joshua Dobbs left tackle for 3 yards (tackle by Dre Greenlaw),-0.34,-0.63,4.0,2023,61
1.0,7:02,3.0,8.0,ARI 23,0.0,7.0,Joshua Dobbs pass complete short left to Marquise Brown for 11 yards (tackle by Isaiah Oliver),-0.63,1.2,4.0,2023,61
1.0,6:22,1.0,10.0,ARI 34,0.0,7.0,"Joshua Dobbs aborted snap, recovered by Joshua Dobbs at ARI-34 and returned for -2 yards (tackle by Nick Bosa)",1.2,0.39,4.0,2023,61
1.0,5:47,2.0,12.0,ARI 32,0.0,7.0,Joshua Dobbs pass complete short left to Michael Wilson for 4 yards (tackle by Deommodore Lenoir and Talanoa Hufanga),0.39,0.23,4.0,2023,61
