Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Ravens to receive the opening kickoff.",,,4.0,2023,55
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 57 yards, returned by Devin Duvernay for 16 yards (tackle by Pierre Strong)",0.0,0.54,4.0,2023,55
1.0,14:56,1.0,10.0,BAL 24,0.0,0.0,Gus Edwards right guard for 6 yards (tackle by Grant Delpit and Juan Thornhill),0.54,0.81,4.0,2023,55
1.0,14:17,2.0,4.0,BAL 30,0.0,0.0,"Penalty on Morgan Moses: False Start, 5 yards (accepted) (no play)",0.81,0.13,4.0,2023,55
1.0,14:03,2.0,9.0,BAL 25,0.0,0.0,Gus Edwards left end for 3 yards (tackle by Juan Thornhill),0.13,-0.16,4.0,2023,55
1.0,13:20,3.0,6.0,BAL 28,0.0,0.0,Lamar Jackson scrambles right end for 2 yards (tackle by Juan Thornhill),-0.16,-1.37,4.0,2023,55
1.0,12:48,4.0,4.0,BAL 30,0.0,0.0,Jordan Stout punts 45 yards out of bounds,-1.37,-0.61,4.0,2023,55
1.0,12:42,1.0,10.0,CLE 25,0.0,0.0,"Jerome Ford left tackle for 10 yards (tackle by Geno Stone and Patrick Queen). Penalty on Amari Cooper: Offensive Holding, 10 yards (accepted)",0.61,0.61,4.0,2023,55
1.0,12:16,1.0,10.0,CLE 25,0.0,0.0,Dorian Thompson-Robinson pass complete short left to Donovan Peoples-Jones for 7 yards (tackle by Brandon Stephens),0.61,1.01,4.0,2023,55
1.0,11:29,2.0,3.0,CLE 32,0.0,0.0,"Jerome Ford left guard for -2 yards (tackle by Patrick Queen) Penalty on CLE: Illegal Shift, 5 yards (declined)",1.01,0.04,4.0,2023,55
1.0,11:13,3.0,5.0,CLE 30,0.0,0.0,Dorian Thompson-Robinson pass complete short middle to David Njoku for 15 yards (tackle by Geno Stone),0.04,1.93,4.0,2023,55
1.0,10:34,1.0,10.0,CLE 45,0.0,0.0,Dorian Thompson-Robinson pass complete short right to Harrison Bryant for 2 yards (tackle by Kyle Hamilton and Roquan Smith),1.93,1.65,4.0,2023,55
1.0,9:58,2.0,8.0,CLE 47,0.0,0.0,Dorian Thompson-Robinson pass incomplete short middle intended for Donovan Peoples-Jones (defended by Roquan Smith),1.65,0.96,4.0,2023,55
1.0,9:51,3.0,8.0,CLE 47,0.0,0.0,Dorian Thompson-Robinson pass incomplete short right intended for Elijah Moore (defended by Daryl Worley),0.96,-0.26,4.0,2023,55
1.0,9:40,4.0,8.0,CLE 47,0.0,0.0,Corey Bojorquez punts 33 yards,-0.26,-0.28,4.0,2023,55
