Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Lamar Jackson,BAL,15,19,186,2,0,3,21,43,142.5,4.0,2023,55
Gus Edwards,BAL,0,0,0,0,0,0,0,0,,4.0,2023,55
Justice Hill,BAL,0,0,0,0,0,0,0,0,,4.0,2023,55
Melvin Gordon,BAL,0,0,0,0,0,0,0,0,,4.0,2023,55
Tyler Huntley,BAL,0,0,0,0,0,0,0,0,,4.0,2023,55
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,4.0,2023,55
Patrick Ricard,BAL,0,0,0,0,0,0,0,0,,4.0,2023,55
Devin Duvernay,BAL,0,0,0,0,0,0,0,0,,4.0,2023,55
Nelson Agholor,BAL,0,0,0,0,0,0,0,0,,4.0,2023,55
Zay Flowers,BAL,0,0,0,0,0,0,0,0,,4.0,2023,55
Dorian Thompson-Robinson,CLE,19,36,121,0,3,4,48,16,25.3,4.0,2023,55
Pierre Strong,CLE,0,0,0,0,0,0,0,0,,4.0,2023,55
Jerome Ford,CLE,0,0,0,0,0,0,0,0,,4.0,2023,55
Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,4.0,2023,55
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,4.0,2023,55
David Njoku,CLE,0,0,0,0,0,0,0,0,,4.0,2023,55
Amari Cooper,CLE,0,0,0,0,0,0,0,0,,4.0,2023,55
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,4.0,2023,55
Jordan Akins,CLE,0,0,0,0,0,0,0,0,,4.0,2023,55
Cedric Tillman,CLE,0,0,0,0,0,0,0,0,,4.0,2023,55
Marquise Goodwin,CLE,0,0,0,0,0,0,0,0,,4.0,2023,55
Elijah Moore,CLE,0,0,0,0,0,0,0,0,,4.0,2023,55
