Quarter,Time,Tm,Detail,WAS,PHI,week,year,game_id
1,7:52,Commanders,Curtis Samuel 1 yard rush (Joey Slye kick),7,0,4.0,2023,59
,1:17,Eagles,D'Andre Swift 5 yard rush (Jake Elliott kick),7,7,4.0,2023,59
2,12:56,Commanders,Terry McLaurin fumble recovery in end zone (Joey Slye kick),14,7,4.0,2023,59
,1:39,Commanders,Joey Slye 27 yard field goal,17,7,4.0,2023,59
,0:00,Eagles,Jake Elliott 41 yard field goal,17,10,4.0,2023,59
3,11:38,Eagles,Jake Elliott 47 yard field goal,17,13,4.0,2023,59
,7:11,Eagles,A.J. Brown 59 yard pass from Jalen Hurts (Kenneth Gainwell run),17,21,4.0,2023,59
4,14:15,Eagles,Jake Elliott 36 yard field goal,17,24,4.0,2023,59
,8:01,Commanders,Brian Robinson Jr. 15 yard rush (Joey Slye kick),24,24,4.0,2023,59
,1:43,Eagles,A.J. Brown 28 yard pass from Jalen Hurts (Jake Elliott kick),24,31,4.0,2023,59
,0:00,Commanders,Jahan Dotson 10 yard pass from Sam Howell (Joey Slye kick),31,31,4.0,2023,59
OT,3:58,Eagles,Jake Elliott 54 yard field goal,31,34,4.0,2023,59
