Unnamed: 0,TAM,NOR,week,year,game_id
First Downs,21,16,4.0,2023,58
Rush-Yds-TDs,33-114-0,19-70-0,4.0,2023,58
Cmp-Att-Yd-TD-INT,25-33-246-3-1,24-39-140-0-1,4.0,2023,58
Sacked-Yards,1-7,3-13,4.0,2023,58
Net Pass Yards,239,127,4.0,2023,58
Total Yards,353,197,4.0,2023,58
Fumbles-Lost,0-0,2-2,4.0,2023,58
Turnovers,1,3,4.0,2023,58
Penalties-Yards,11-91,7-58,4.0,2023,58
Third Down Conv.,8-15,5-14,4.0,2023,58
Fourth Down Conv.,0-0,1-2,4.0,2023,58
Time of Possession,31:11,28:49,4.0,2023,58
