Quarter,Time,Tm,Detail,JAX,PHI,week,year,game_id
1.0,11:15,Jaguars,Andre Cisco 59 yard interception return (Riley Patterson kick),7,0,4.0,2022,58
,3:50,Jaguars,Jamal Agnew 4 yard pass from Trevor Lawrence (Riley Patterson kick),14,0,4.0,2022,58
2.0,9:13,Eagles,Jalen Hurts 3 yard rush (Jake Elliott kick),14,7,4.0,2022,58
,3:55,Eagles,Miles Sanders 10 yard rush (Jake Elliott kick),14,14,4.0,2022,58
,0:26,Eagles,Kenneth Gainwell 10 yard rush (Jake Elliott kick failed),14,20,4.0,2022,58
4.0,13:42,Eagles,Jake Elliott 28 yard field goal,14,23,4.0,2022,58
,8:49,Eagles,Miles Sanders 5 yard rush (pass failed),14,29,4.0,2022,58
,7:19,Jaguars,Jamal Agnew 8 yard pass from Trevor Lawrence (Riley Patterson kick),21,29,4.0,2022,58
