Unnamed: 0,JAX,PHI,week,year,game_id
First Downs,13,25,4.0,2022,58
Rush-Yds-TDs,19-71-0,50-210-4,4.0,2022,58
Cmp-Att-Yd-TD-INT,11-23-174-2-1,16-25-204-0-1,4.0,2022,58
Sacked-Yards,4-26,2-13,4.0,2022,58
Net Pass Yards,148,191,4.0,2022,58
Total Yards,219,401,4.0,2022,58
Fumbles-Lost,5-4,1-0,4.0,2022,58
Turnovers,5,1,4.0,2022,58
Penalties-Yards,4-38,3-20,4.0,2022,58
Third Down Conv.,2-7,4-15,4.0,2022,58
Fourth Down Conv.,0-1,3-5,4.0,2022,58
Time of Possession,20:09,39:51,4.0,2022,58
