Quarter,Time,Tm,Detail,CLE,ATL,week,year,game_id
1.0,3:36,Falcons,Younghoe Koo 30 yard field goal,0,3,4.0,2022,51
,1:20,Falcons,Cordarrelle Patterson 13 yard rush (Younghoe Koo kick),0,10,4.0,2022,51
2.0,7:35,Browns,Jacoby Brissett 4 yard rush (Cade York kick),7,10,4.0,2022,51
,0:07,Browns,Cade York 29 yard field goal,10,10,4.0,2022,51
3.0,3:06,Browns,Cade York 45 yard field goal,13,10,4.0,2022,51
4.0,12:51,Falcons,Caleb Huntley 5 yard rush (Younghoe Koo kick),13,17,4.0,2022,51
,9:51,Browns,Nick Chubb 28 yard rush (Cade York kick),20,17,4.0,2022,51
,7:19,Falcons,Younghoe Koo 21 yard field goal,20,20,4.0,2022,51
,2:28,Falcons,Younghoe Koo 45 yard field goal,20,23,4.0,2022,51
