Unnamed: 0,LAR,SFO,week,year,game_id
First Downs,21,13,4.0,2022,64
Rush-Yds-TDs,18-57-0,22-88-1,4.0,2022,64
Cmp-Att-Yd-TD-INT,32-48-254-0-1,16-27-239-1-0,4.0,2022,64
Sacked-Yards,7-54,0-0,4.0,2022,64
Net Pass Yards,200,239,4.0,2022,64
Total Yards,257,327,4.0,2022,64
Fumbles-Lost,1-1,1-0,4.0,2022,64
Turnovers,2,0,4.0,2022,64
Penalties-Yards,1-5,4-25,4.0,2022,64
Third Down Conv.,5-15,5-12,4.0,2022,64
Fourth Down Conv.,2-2,0-1,4.0,2022,64
Time of Possession,34:34,25:26,4.0,2022,64
