Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Bengals,12.0,9.11,16.74,-8.12,0.0,-0.48,-3.06,1.12,7.49,3.73,-3.39,3.05,1.59,-1.81,4.29,4.0,2022,49
Dolphins,-12.0,0.48,3.06,-1.12,-7.49,-9.11,-16.74,8.12,0.0,-3.73,-3.05,3.39,1.81,-1.59,-4.29,4.0,2022,49
