Unnamed: 0,ARI,CAR,week,year,game_id
First Downs,20,11,4.0,2022,60
Rush-Yds-TDs,37-132-1,13-40-0,4.0,2022,60
Cmp-Att-Yd-TD-INT,23-32-207-2-1,22-36-197-1-2,4.0,2022,60
Sacked-Yards,1-1,2-17,4.0,2022,60
Net Pass Yards,206,180,4.0,2022,60
Total Yards,338,220,4.0,2022,60
Fumbles-Lost,2-0,2-1,4.0,2022,60
Turnovers,1,3,4.0,2022,60
Penalties-Yards,7-61,6-76,4.0,2022,60
Third Down Conv.,6-15,2-10,4.0,2022,60
Fourth Down Conv.,0-2,1-3,4.0,2022,60
Time of Possession,38:35,21:25,4.0,2022,60
